id,timestamp,x,y,confidence
car1,10.3,267.628,230.775,142
car1,10.35,267.613,230.707,140
car1,10.4,267.601,230.65,138
car1,10.45,267.589,230.592,137
car1,10.5,267.576,230.533,135
car1,10.55,267.564,230.475,134
car1,10.6,267.551,230.415,132
car1,10.65,267.539,230.359,130
car1,10.7,267.527,230.303,129
car1,10.75,267.513,230.236,127
car1,10.75,267.513,230.236,127
car1,10.8,267.501,230.179,126
car1,10.8,267.501,230.179,126
car1,10.8,267.629,218.417,142
car1,10.85,267.489,230.124,124
car1,10.8,267.629,218.417,142
car1,10.85,267.489,230.124,124
car1,10.85,267.618,218.471,140
car1,10.85,267.489,230.124,124
car1,10.9,267.606,218.524,139
car1,10.9,267.474,230.054,122
car1,10.9,267.606,218.524,139
car1,10.95,267.461,229.99,121
car1,10.9,267.606,218.524,139
car1,10.95,267.461,229.99,121
car1,10.95,267.594,218.582,137
car1,11,267.447,229.925,119
car1,10.95,267.594,218.582,137
car1,11,267.447,229.925,119
car1,11,267.582,218.64,136
car1,11,267.447,229.925,119
car1,11.05,267.571,218.691,134
car1,11.05,267.434,229.865,117
car1,11.05,267.571,218.691,134
car1,11.05,267.434,229.865,117
car1,11.1,267.56,218.742,133
car1,11.1,267.42,229.801,116
car1,11.1,267.56,218.742,133
car1,11.1,267.42,229.801,116
car1,11.15,267.551,218.784,132
car1,11.15,267.408,229.743,114
car1,11.15,267.551,218.784,132
car1,11.15,267.408,229.743,114
car1,11.2,267.543,218.824,131
car1,11.2,267.394,229.679,112
car1,11.2,267.543,218.824,131
car1,11.25,267.381,229.617,111
car1,11.2,267.543,218.824,131
car1,11.25,267.381,229.617,111
car1,11.25,267.53,218.883,129
car1,11.3,267.367,229.549,109
car1,11.25,267.53,218.883,129
car1,11.3,267.367,229.549,109
car1,11.3,267.518,218.939,128
car1,11.3,267.367,229.549,109
car1,11.35,267.505,219.003,126
car1,11.35,267.354,229.489,107
car1,11.35,267.505,219.003,126
car1,11.35,267.354,229.489,107
car1,11.4,267.492,219.06,125
car1,11.4,267.341,229.429,106
car1,11.4,267.492,219.06,125
car1,11.4,267.341,229.429,106
car1,11.45,267.479,219.125,123
car1,11.45,267.329,229.369,104
car1,11.45,267.479,219.125,123
car1,11.5,267.315,229.303,102
car1,11.45,267.479,219.125,123
car1,11.5,267.315,229.303,102
car1,11.5,267.466,219.183,121
car1,11.55,267.3,229.233,100
car1,11.5,267.466,219.183,121
car1,11.55,267.3,229.233,100
car1,11.55,267.455,219.238,120
car1,11.6,267.284,229.161,98
car1,11.55,267.455,219.238,120
car1,11.6,267.284,229.161,98
car1,11.6,267.443,219.292,118
car1,11.65,267.263,229.062,96
car1,11.6,267.443,219.292,118
car1,11.65,267.263,229.062,96
car1,11.65,267.432,219.346,117
car1,11.65,267.263,229.062,96
car1,11.7,267.421,219.395,116
car1,11.7,267.246,228.981,94
car1,11.7,267.421,219.395,116
car1,11.7,267.246,228.981,94
car1,11.75,267.409,219.453,114
car1,11.75,267.232,228.917,92
car1,11.75,267.409,219.453,114
car1,11.8,267.217,228.843,90
car1,11.75,267.409,219.453,114
car1,11.8,267.217,228.843,90
car1,11.8,267.397,219.509,113
car1,11.8,267.217,228.843,90
car1,11.85,267.386,219.56,111
car1,11.85,267.204,228.785,88
car1,11.85,267.386,219.56,111
car1,11.9,267.192,228.726,87
car1,11.85,267.386,219.56,111
car1,11.9,267.192,228.726,87
car1,11.9,267.375,219.612,110
car1,11.9,267.192,228.726,87
car1,11.95,267.363,219.669,108
car1,11.95,267.18,228.67,85
car1,11.95,267.363,219.669,108
car1,11.95,267.18,228.67,85
car1,12,267.354,219.713,107
car1,12,267.168,228.613,84
car1,12,267.354,219.713,107
car1,12,267.168,228.613,84
car1,12.05,267.346,219.75,106
car1,12.05,267.157,228.562,82
car1,12.05,267.346,219.75,106
car1,12.1,267.148,228.522,81
car1,12.05,267.346,219.75,106
car1,12.1,267.148,228.522,81
car1,12.1,267.335,219.803,105
car1,12.15,267.14,228.481,80
car1,12.1,267.335,219.803,105
car1,12.15,267.14,228.481,80
car1,12.15,267.32,219.873,103
car1,12.2,267.127,228.419,79
car1,12.15,267.32,219.873,103
car1,12.2,267.127,228.419,79
car1,12.2,267.306,219.938,101
car1,12.2,267.127,228.419,79
car1,12.25,267.293,219.999,100
car1,12.25,267.115,228.363,77
car1,12.25,267.293,219.999,100
car1,12.25,267.115,228.363,77
car1,12.3,267.281,220.056,98
car1,12.3,267.103,228.306,76
car1,12.3,267.281,220.056,98
car1,12.3,267.103,228.306,76
car1,12.35,267.266,220.127,96
car1,12.35,267.091,228.252,74
car1,12.35,267.266,220.127,96
car1,12.35,267.091,228.252,74
car1,12.4,267.253,220.188,95
car1,12.4,267.077,228.187,72
car1,12.4,267.253,220.188,95
car1,12.45,267.064,228.125,71
car1,12.4,267.253,220.188,95
car1,12.45,267.064,228.125,71
car1,12.45,267.242,220.239,93
car1,12.45,267.064,228.125,71
car1,12.5,267.23,220.295,92
car1,12.5,267.049,228.054,69
car1,12.5,267.23,220.295,92
car1,12.5,267.049,228.054,69
car1,12.55,267.22,220.343,90
car1,12.55,267.035,227.987,67
car1,12.55,267.22,220.343,90
car1,12.6,267.019,227.914,65
car1,12.55,267.22,220.343,90
car1,12.6,267.019,227.914,65
car1,12.6,267.213,220.377,89
car1,12.6,267.019,227.914,65
car1,12.65,267.2,220.437,88
car1,12.65,267.004,227.841,63
car1,12.65,267.2,220.437,88
car1,12.7,266.987,227.763,61
car1,12.65,267.2,220.437,88
car1,12.7,266.987,227.763,61
car1,12.7,267.187,220.495,86
car1,12.75,266.97,227.681,59
car1,12.7,267.187,220.495,86
car1,12.75,266.97,227.681,59
car1,12.75,267.175,220.552,85
car1,12.75,266.97,227.681,59
car1,12.8,267.163,220.608,83
car1,12.8,266.955,227.612,57
car1,12.8,267.163,220.608,83
car1,12.8,266.955,227.612,57
car1,12.85,267.153,220.657,82
car1,12.85,266.939,227.537,55
car1,12.85,267.153,220.657,82
car1,12.9,266.924,227.465,53
car1,12.85,267.153,220.657,82
car1,12.9,266.924,227.465,53
car1,12.9,267.141,220.713,81
car1,12.9,266.924,227.465,53
car1,12.95,267.131,220.76,79
car1,12.95,266.911,227.405,52
car1,12.95,267.131,220.76,79
car1,13,266.899,227.348,50
car1,12.95,267.131,220.76,79
car1,13,266.899,227.348,50
car1,13,267.121,220.805,78
car1,13.05,266.889,227.302,49
car1,13,267.121,220.805,78
car1,13.05,266.889,227.302,49
car1,13.05,267.11,220.859,77
car1,13.1,266.883,227.272,48
car1,13.05,267.11,220.859,77
car1,13.1,266.883,227.272,48
car1,13.1,267.098,220.918,75
car1,13.1,266.883,227.272,48
car1,13.15,267.087,220.968,74
car1,13.15,266.869,227.209,46
car1,13.15,267.087,220.968,74
car1,13.2,266.855,227.142,45
car1,13.15,267.087,220.968,74
car1,13.2,266.855,227.142,45
car1,13.2,267.076,221.021,72
car1,13.2,266.855,227.142,45
car1,13.25,267.063,221.08,71
car1,13.25,266.844,227.089,43
car1,13.25,267.063,221.08,71
car1,13.25,266.844,227.089,43
car1,13.3,267.051,221.139,69
car1,13.3,266.832,227.032,42
car1,13.3,267.051,221.139,69
car1,13.3,266.832,227.032,42
car1,13.35,267.041,221.186,68
car1,13.35,266.817,226.962,40
car1,13.35,267.041,221.186,68
car1,13.4,266.803,226.894,38
car1,13.35,267.041,221.186,68
car1,13.4,266.803,226.894,38
car1,13.4,267.032,221.226,67
car1,13.45,266.79,226.835,36
car1,13.4,267.032,221.226,67
car1,13.45,266.79,226.835,36
car1,13.45,267.022,221.273,66
car1,13.5,266.776,226.77,35
car1,13.45,267.022,221.273,66
car1,13.5,266.776,226.77,35
car1,13.5,267.009,221.334,64
car1,13.5,266.776,226.77,35
car1,13.55,266.995,221.401,62
car1,13.55,266.762,226.704,33
car1,13.55,266.995,221.401,62
car1,13.55,266.762,226.704,33
car1,13.6,266.981,221.468,60
car1,13.6,266.751,226.65,31
car1,13.6,266.981,221.468,60
car1,13.65,266.738,226.59,30
car1,13.6,266.981,221.468,60
car1,13.65,266.738,226.59,30
car1,13.65,266.97,221.517,59
car1,13.7,266.724,226.526,28
car1,13.65,266.97,221.517,59
car1,13.7,266.724,226.526,28
car1,13.7,266.963,221.553,58
car1,13.7,266.724,226.526,28
car1,13.75,266.95,221.612,56
car1,13.75,266.713,226.473,27
car1,13.75,266.95,221.612,56
car1,13.75,266.95,221.612,56
car1,13.85,266.921,221.746,53
car1,13.85,266.703,226.426,26
car1,13.85,266.921,221.746,53
car1,13.85,266.703,226.426,26
car1,13.9,266.913,221.786,52
car1,13.85,266.703,226.426,26
car1,13.9,266.913,221.786,52
car1,13.95,267.425,225.927,32
car1,14,268.288,222.523,62
