timestamp,x_gt,y_gt,car_id,sensor_id
15.15,266.84,168.673,car0,0
15.2,266.84,168.735,car0,0
15.25,266.84,168.804,car0,0
15.3,266.84,168.878,car0,0
15.35,266.84,168.952,car0,0
15.4,266.84,169.012,car0,0
15.45,266.84,169.078,car0,0
15.5,266.84,169.142,car0,0
15.55,266.84,169.209,car0,0
15.6,266.84,169.277,car0,0
15.65,266.84,169.35,car0,0
15.7,266.84,169.421,car0,0
15.75,266.84,169.485,car0,0
15.8,266.84,169.546,car0,0
15.85,266.84,169.618,car0,0
15.9,266.84,169.689,car0,0
15.95,266.84,169.753,car0,0
16.0,266.84,169.82,car0,0
16.05,266.84,169.894,car0,0
16.1,266.84,169.964,car0,0
16.15,266.84,170.031,car0,0
16.2,266.84,170.095,car0,0
16.25,266.84,170.164,car0,0
16.3,266.84,170.231,car0,0
16.35,266.84,170.302,car0,0
16.4,266.84,170.371,car0,0
16.45,266.84,170.432,car0,0
16.5,266.84,170.492,car0,0
16.55,266.84,170.556,car0,0
16.6,266.84,170.62,car0,0
16.65,266.84,170.689,car0,0
16.7,266.84,170.76,car0,0
16.75,266.84,170.822,car0,0
16.8,266.84,170.883,car0,0
16.85,266.84,170.946,car0,0
16.9,266.84,171.007,car0,0
16.95,266.84,171.081,car0,0
17.0,266.84,171.156,car0,0
17.05,266.84,171.228,car0,0
17.1,266.84,171.298,car0,0
17.15,266.84,171.368,car0,0
17.2,266.84,171.431,car0,0
17.25,266.84,171.503,car0,0
17.3,266.84,171.574,car0,0
17.35,266.84,171.642,car0,0
17.4,266.84,171.705,car0,0
17.45,266.84,171.765,car0,0
17.5,266.84,171.829,car0,0
17.55,266.84,171.892,car0,0
17.6,266.84,171.954,car0,0
17.65,266.84,172.018,car0,0
17.7,266.84,172.078,car0,0
17.75,266.84,172.148,car0,0
17.8,266.84,172.222,car0,0
17.85,266.84,172.288,car0,0
17.9,266.84,172.355,car0,0
17.95,266.84,172.426,car0,0
18.0,266.84,172.487,car0,0
18.05,266.84,172.549,car0,0
18.1,266.84,172.611,car0,0
18.15,266.84,172.673,car0,0
18.2,266.84,172.737,car0,0
18.25,266.84,172.807,car0,0
18.3,266.84,172.879,car0,0
18.35,266.84,172.951,car0,0
18.4,266.84,173.022,car0,0
18.45,266.84,173.09,car0,0
18.5,266.84,173.15,car0,0
18.55,266.84,173.218,car0,0
18.6,266.84,173.289,car0,0
18.65,266.84,173.357,car0,0
18.7,266.84,173.424,car0,0
18.75,266.84,173.497,car0,0
18.8,266.84,173.565,car0,0
18.85,266.84,173.635,car0,0
18.9,266.84,173.703,car0,0
18.95,266.84,173.771,car0,0
19.0,266.84,173.838,car0,0
19.05,266.84,173.912,car0,0
19.1,266.84,173.984,car0,0
19.15,266.84,174.057,car0,1
19.2,266.84,174.117,car0,1
19.25,266.84,174.191,car0,1
19.3,266.84,174.26,car0,1
19.35,266.84,174.335,car0,1
19.4,266.84,174.406,car0,1
19.45,266.84,174.474,car0,1
19.5,266.84,174.545,car0,1
19.55,266.84,174.606,car0,2
19.6,266.84,174.679,car0,2
19.65,266.84,174.741,car0,2
19.7,266.84,174.808,car0,2
19.75,266.84,174.869,car0,2
19.8,266.84,174.942,car0,2
19.85,266.84,175.007,car0,3
19.9,266.84,175.072,car0,3
19.95,266.84,175.135,car0,3
20.0,266.84,175.198,car0,3
20.05,266.84,175.264,car0,3
20.1,266.84,175.336,car0,3
20.15,266.84,175.406,car0,3
20.2,266.84,175.481,car0,4
20.25,266.84,175.554,car0,4
20.3,266.84,175.618,car0,4
20.35,266.84,175.682,car0,4
20.4,266.84,175.75,car0,4
20.45,266.84,175.818,car0,4
20.5,266.84,175.886,car0,4
20.55,266.84,175.956,car0,4
20.6,266.84,176.029,car0,4
20.65,266.84,176.103,car0,4
20.7,266.84,176.169,car0,5
20.75,266.84,176.241,car0,5
20.8,266.84,176.307,car0,5
20.85,266.84,176.375,car0,5
20.9,266.84,176.439,car0,5
20.95,266.84,176.506,car0,5
21.0,266.84,176.581,car0,5
21.05,266.84,176.647,car0,5
21.1,266.84,176.711,car0,5
21.15,266.84,176.775,car0,5
21.2,266.84,176.848,car0,5
21.25,266.84,176.916,car0,5
21.3,266.84,176.986,car0,5
21.35,266.84,177.052,car0,5
21.4,266.84,177.113,car0,5
21.45,266.84,177.18,car0,5
21.5,266.84,177.24,car0,5
21.55,266.84,177.31,car0,5
21.6,266.84,177.383,car0,5
21.65,266.84,177.449,car0,5
21.7,266.84,177.513,car0,5
21.75,266.84,177.582,car0,5
21.8,266.84,177.644,car0,5
21.85,266.84,177.713,car0,5
21.9,266.84,177.78,car0,5
21.95,266.84,177.85,car0,5
22.0,266.84,177.921,car0,5
22.05,266.84,177.983,car0,5
22.1,266.84,178.055,car0,5
22.15,266.84,178.128,car0,5
22.2,266.84,178.203,car0,5
22.25,266.84,178.272,car0,5
