timestamp,car_id,sensor_id,track_id,gt_x,gt_y,track_x,track_y
11.15,car0,unknown,76,266.84,168.636,267.743,168.628
11.2,car0,unknown,76,266.84,168.706,267.73,168.692
11.25,car0,unknown,76,266.84,168.773,267.716,168.755
11.3,car0,unknown,76,266.84,168.839,267.703,168.816
11.35,car0,unknown,76,266.84,168.898,267.692,168.869
11.4,car0,unknown,76,266.84,168.96,267.679,168.928
11.45,car0,unknown,76,266.84,169.024,267.666,168.994
11.5,car0,unknown,76,266.84,169.083,267.653,169.053
11.55,car0,unknown,76,266.84,169.147,267.639,169.119
11.6,car0,unknown,76,266.84,169.205,267.627,169.177
11.65,car0,unknown,76,266.84,169.273,267.613,169.243
11.7,car0,unknown,76,266.84,169.339,267.598,169.31
11.75,car0,unknown,76,266.84,169.405,267.582,169.389
11.8,car0,unknown,76,266.84,169.463,267.568,169.452
11.85,car0,unknown,76,266.84,169.532,267.552,169.526
11.9,car0,unknown,76,266.84,169.592,267.539,169.588
11.95,car0,unknown,76,266.84,169.657,267.525,169.656
12.0,car0,unknown,76,266.84,169.716,267.512,169.717
12.05,car0,unknown,76,266.84,169.775,267.499,169.778
12.1,car0,unknown,76,266.84,169.837,267.485,169.843
12.15,car0,unknown,76,266.84,169.902,267.471,169.909
12.2,car0,unknown,76,266.84,169.965,267.457,169.974
12.25,car0,unknown,76,266.84,170.026,267.444,170.036
12.3,car0,unknown,76,266.84,170.092,267.43,170.104
12.35,car0,unknown,76,266.84,170.155,267.416,170.168
12.4,car0,unknown,76,266.84,170.221,267.401,170.236
12.45,car0,unknown,76,266.84,170.278,267.389,170.293
12.5,car0,unknown,76,266.84,170.34,267.376,170.354
12.55,car0,unknown,76,266.84,170.397,267.364,170.41
12.6,car0,unknown,76,266.84,170.456,267.352,170.467
12.65,car0,unknown,76,266.84,170.525,267.338,170.533
12.7,car0,unknown,76,266.84,170.582,267.327,170.587
12.75,car0,unknown,76,266.84,170.648,267.314,170.648
12.8,car0,unknown,76,266.84,170.706,267.303,170.7
12.85,car0,unknown,76,266.84,170.776,267.29,170.761
12.9,car0,unknown,76,266.84,170.834,267.279,170.81
12.95,car0,unknown,76,266.84,170.903,267.269,170.859
13.0,car0,unknown,76,266.84,170.97,267.259,170.906
13.05,car0,unknown,76,266.84,171.033,267.246,170.966
13.1,car0,unknown,76,266.84,171.093,267.235,171.021
13.15,car0,unknown,76,266.84,171.16,267.221,171.087
13.2,car0,unknown,76,266.84,171.217,267.208,171.145
13.25,car0,unknown,76,266.84,171.284,267.195,171.209
13.3,car0,unknown,76,266.84,171.349,267.181,171.273
13.35,car0,unknown,76,266.84,171.417,267.167,171.338
13.4,car0,unknown,76,266.84,171.479,267.155,171.398
13.45,car0,unknown,76,266.84,171.548,267.141,171.463
13.5,car0,unknown,76,266.84,171.616,267.127,171.527
13.55,car0,unknown,76,266.84,171.68,267.113,171.594
13.6,car0,unknown,76,266.84,171.736,267.099,171.66
13.65,car0,unknown,76,266.84,171.794,267.085,171.727
13.7,car0,unknown,76,266.84,171.863,267.068,171.804
13.75,car0,unknown,76,266.84,171.928,267.053,171.877
13.8,car0,unknown,76,266.84,171.994,267.037,171.95
13.85,car0,unknown,76,266.84,172.061,267.023,172.018
13.9,car0,unknown,76,266.84,172.118,267.011,172.074
13.95,car0,unknown,76,266.84,172.179,266.999,172.132
14.0,car0,unknown,76,266.84,172.236,266.988,172.182
14.05,car0,unknown,76,266.84,172.299,266.977,172.234
14.1,car0,unknown,76,266.84,172.369,266.966,172.283
