timestamp,x,y,car_id,sensor_id
11.15,266.84,168.695,car0,0
11.2,266.84,168.762,car0,0
11.25,266.84,168.826,car0,0
11.3,266.84,168.899,car0,0
11.35,266.84,168.959,car0,0
11.4,266.84,169.023,car0,0
11.45,266.84,169.087,car0,0
11.5,266.84,169.155,car0,0
11.55,266.84,169.222,car0,0
11.6,266.84,169.289,car0,0
11.65,266.84,169.36,car0,0
11.7,266.84,169.421,car0,0
11.75,266.84,169.494,car0,0
11.8,266.84,169.557,car0,0
11.85,266.84,169.628,car0,0
11.9,266.84,169.688,car0,0
11.95,266.84,169.758,car0,0
12.0,266.84,169.819,car0,0
12.05,266.84,169.888,car0,0
12.1,266.84,169.948,car0,0
12.15,266.84,170.019,car0,0
12.2,266.84,170.08,car0,0
12.25,266.84,170.148,car0,0
12.3,266.84,170.216,car0,0
12.35,266.84,170.282,car0,0
12.4,266.84,170.344,car0,0
12.45,266.84,170.408,car0,0
12.5,266.84,170.483,car0,0
12.55,266.84,170.549,car0,0
12.6,266.84,170.62,car0,0
12.65,266.84,170.686,car0,0
12.7,266.84,170.759,car0,0
12.75,266.84,170.825,car0,0
12.8,266.84,170.887,car0,0
12.85,266.84,170.952,car0,0
12.9,266.84,171.014,car0,0
12.95,266.84,171.089,car0,0
13.0,266.84,171.152,car0,0
13.05,266.84,171.222,car0,0
13.1,266.84,171.286,car0,0
13.15,266.84,171.359,car0,0
13.2,266.84,171.421,car0,0
13.25,266.84,171.49,car0,0
13.3,266.84,171.565,car0,0
13.35,266.84,171.638,car0,0
13.4,266.84,171.698,car0,0
13.45,266.84,171.764,car0,0
13.5,266.84,171.829,car0,0
13.55,266.84,171.895,car0,0
13.6,266.84,171.963,car0,0
13.65,266.84,172.036,car0,0
13.7,266.84,172.107,car0,0
13.75,266.84,172.172,car0,0
13.8,266.84,172.232,car0,0
13.85,266.84,172.304,car0,0
13.9,266.84,172.376,car0,0
13.95,266.84,172.44,car0,0
14.0,266.84,172.506,car0,0
14.05,266.84,172.58,car0,0
14.1,266.84,172.65,car0,0
14.15,266.84,172.717,car0,0
14.2,266.84,172.781,car0,0
14.25,266.84,172.85,car0,0
14.3,266.84,172.918,car0,0
14.35,266.84,172.988,car0,0
14.4,266.84,173.058,car0,0
14.45,266.84,173.118,car0,0
14.5,266.84,173.179,car0,0
14.55,266.84,173.243,car0,0
14.6,266.84,173.306,car0,0
14.65,266.84,173.375,car0,0
14.7,266.84,173.447,car0,0
14.75,266.84,173.508,car0,0
14.8,266.84,173.569,car0,0
14.85,266.84,173.632,car0,0
14.9,266.84,173.693,car0,0
14.95,266.84,173.768,car0,0
15.0,266.84,173.843,car0,0
