timestamp,x_gt,y_gt
73.1,254.72,183.4
73.2,254.865,183.4
73.3,255.002,183.4
73.4,255.16,183.4
73.5,255.319,183.4
73.6,255.473,183.4
73.7,255.623,183.4
73.8,255.782,183.4
73.9,255.944,183.4
74,256.089,183.4
74.1,256.234,183.4
74.2,256.37,183.4
74.3,256.51,183.4
74.4,256.672,183.4
74.5,256.812,183.4
74.6,256.968,183.4
74.7,257.121,183.4
74.8,257.272,183.4
74.9,257.421,183.4
75,257.565,183.4
75.1,257.696,183.4
75.2,257.834,183.4
75.3,257.975,183.4
75.4,258.108,183.4
75.5,258.243,183.4
75.6,258.392,183.4
75.7,258.529,183.4
75.8,258.667,183.4
75.9,258.829,183.4
76,258.978,183.4
76.1,259.13,183.4
76.2,259.267,183.4
76.3,259.421,183.4
76.4,259.561,183.4
76.5,259.696,183.4
76.6,259.843,183.4
76.7,259.997,183.4
76.8,260.156,183.4
76.9,260.316,183.4
77,260.462,183.4
77.1,260.611,183.4
77.2,260.766,183.4
77.3,260.918,183.4
77.4,261.067,183.4
77.5,261.211,183.4
77.6,261.358,183.4
77.7,261.498,183.4
77.8,261.658,183.4
77.9,261.809,183.4
78,261.953,183.4
78.1,262.104,183.4
78.2,262.253,183.4
78.3,262.412,183.4
78.4,262.558,183.4
78.5,262.717,183.4
78.6,262.861,183.4
78.7,263.017,183.4
78.8,263.161,183.4
78.9,263.302,183.4
79,263.464,183.4
79.1,263.567,183.4
79.2,263.664,183.4
79.3,263.773,183.4
79.4,263.89,183.4
79.5,263.976,183.4
79.6,264.072,183.4
79.7,264.208,183.4
79.8,264.308,183.4
79.9,264.42,183.4
80,264.528,183.4
80.1,264.62,183.4
80.2,264.73,183.4
80.3,264.835,183.4
80.4,264.943,183.4
80.5,265.038,183.4
80.6,265.142,183.4
80.7,265.249,183.4
80.8,265.364,183.4
80.9,265.489,183.4
81,265.566,183.4
81.1,265.67,183.4
81.2,265.754,183.4
81.3,265.881,183.4
81.4,265.966,183.4
81.5,266.093,183.4
81.6,266.207,183.4
81.7,266.296,183.4
81.8,266.409,183.4
81.9,266.473,183.4
82,266.473,183.336
82.1,266.473,183.272
82.2,266.473,183.336
82.3,266.473,183.4
82.4,266.626,183.4
82.5,266.76,183.4
82.6,266.896,183.4
82.7,267.053,183.4
82.8,267.217,183.4
82.9,267.36,183.09
83,267.427,183.026
83.1,267.362,183.035
83.2,267.299,183.018
83.3,267.25,182.911
83.4,267.202,182.793
83.5,267.16,182.628
83.6,267.102,182.536
83.7,267.368,182.377
83.8,267.432,182.316
83.9,267.496,182.197
84,267.56,182.118
84.1,267.624,182.003
84.2,267.688,181.894
84.3,267.752,181.806
84.4,267.816,181.701
84.5,267.88,181.603
84.6,267.88,181.495
84.7,267.88,181.379
84.8,267.88,181.291
84.9,267.88,181.182
85,267.88,181.09
85.1,267.88,180.959
85.2,267.88,180.897
85.3,267.88,180.796
85.4,267.88,180.689
85.5,267.88,180.578
85.6,267.88,180.48
85.7,267.88,180.384
85.8,267.88,180.287
85.9,267.88,180.163
86,267.88,180.082
86.1,267.88,179.968
86.2,267.88,179.836
86.3,267.88,179.734
86.4,267.88,179.652
86.5,267.88,179.541
86.6,267.88,179.435
86.7,267.88,179.343
86.8,267.88,179.251
86.9,267.88,179.124
87,267.88,179.017
87.1,267.88,178.934
87.2,267.88,178.834
87.3,267.88,178.719
87.4,267.88,178.619
87.5,267.88,178.526
87.6,267.88,178.419
87.7,267.88,178.304
87.8,267.88,178.214
87.9,267.88,178.11
88,267.88,178.037
88.1,267.88,177.932
88.2,267.88,177.831
88.3,267.88,177.728
88.4,267.88,177.601
88.5,267.88,177.507
88.6,267.88,177.399
88.7,267.88,177.288
88.8,267.88,177.184
88.9,267.88,177.091
89,267.88,176.975
89.1,267.88,176.889
89.2,267.88,176.772
89.3,267.88,176.666
89.4,267.88,176.56
89.5,267.88,176.469
89.6,267.88,176.35
89.7,267.88,176.267
89.8,267.88,176.139
89.9,267.88,176.047
90,267.88,175.924
90.1,267.88,175.827
90.2,267.88,175.718
90.3,267.88,175.633
90.4,267.88,175.543
90.5,267.88,175.435
90.6,267.88,175.337
90.7,267.88,175.225
90.8,267.88,175.128
90.9,267.88,175.039
91,267.88,174.921
91.1,267.88,174.806
91.2,267.88,174.72
91.3,267.88,174.596
91.4,267.88,174.524
91.5,267.88,174.415
91.6,267.88,174.307
91.7,267.88,174.175
91.8,267.88,174.088
91.9,267.88,173.983
92,267.88,173.873
92.1,267.88,173.786
92.2,267.88,173.685
92.3,267.88,173.556
92.4,267.88,173.468
92.5,267.88,173.366
92.6,267.88,173.26
92.7,267.88,173.141
92.8,267.88,173.054
92.9,267.88,172.971
93,267.88,172.853
93.1,267.88,172.754
93.2,267.88,172.67
93.3,267.88,172.57
93.4,267.88,172.458
93.5,267.88,172.345
93.6,267.88,172.265
93.7,267.88,172.123
93.8,267.88,172.046
93.9,267.88,171.957
94,267.88,171.84
94.1,267.88,171.749
94.2,267.816,171.661
94.3,267.752,171.573
94.4,267.688,171.454
94.5,267.624,171.342
94.6,267.56,171.218
94.7,267.496,171.065
94.8,267.432,170.923
94.9,267.368,170.781
95,267.304,170.618
95.1,267.24,170.477
95.2,267.24,170.317
95.3,267.24,170.164
95.4,267.24,170.011
95.5,267.24,169.869
95.6,267.24,169.712
95.7,267.24,169.565
95.8,267.24,169.426
95.9,267.24,169.275
96,267.24,169.118
96.1,267.24,168.977
96.2,267.24,168.829
96.3,267.24,168.669
96.4,267.24,168.512
96.5,267.24,168.356
96.6,267.24,168.208
96.7,267.24,168.052
96.8,267.24,167.911
96.9,267.24,167.774
97,267.24,167.615
97.1,267.24,167.484
97.2,267.304,167.341
97.3,267.368,167.207
97.4,267.432,167.062
97.5,267.496,166.92
97.6,267.56,166.775
97.7,267.496,166.626
97.8,267.432,166.467
97.9,267.368,166.329
98,267.304,166.191
98.1,267.24,166.055
98.2,267.24,165.922
98.3,267.24,165.778
98.4,267.24,165.624
98.5,267.24,165.488
98.6,267.24,165.336
98.7,267.24,165.184
98.8,267.24,165.053
98.9,267.24,164.92
99,267.24,164.768
99.1,267.24,164.637
99.2,267.24,164.494
99.3,267.24,164.349
99.4,267.24,164.21
99.5,267.24,164.051
99.6,267.24,163.904
99.7,267.24,163.759
99.8,267.24,163.614
99.9,267.24,163.475
100,267.24,163.325
100.1,267.24,163.18
100.2,267.24,163.043
100.3,267.24,162.891
100.4,267.24,162.746
100.5,267.24,162.595
100.6,267.24,162.455
100.7,267.24,162.312
100.8,267.24,162.158
100.9,267.24,162.017
101,267.24,161.866
101.1,267.24,161.733
101.2,267.24,161.594
101.3,267.24,161.458
101.4,267.24,161.307
101.5,267.24,161.17
101.6,267.24,161.032
101.7,267.24,160.877
101.8,267.24,160.735
101.9,267.24,160.598
102,267.24,160.441
102.1,267.24,160.283
102.2,267.24,160.149
102.3,267.24,160.013
102.4,267.24,159.874
102.5,267.24,159.725
102.6,267.24,159.562
102.7,267.24,159.405
102.8,267.24,159.269
102.9,267.24,159.11
103,267.24,158.956
103.1,267.24,158.798
103.2,267.24,158.667
103.3,267.24,158.518
103.4,267.24,158.378
103.5,267.24,158.237
103.6,267.24,158.093
103.7,267.24,157.95
103.8,267.24,157.801
103.9,267.24,157.642
104,267.24,157.494
104.1,267.24,157.332
104.2,267.24,157.184
104.3,267.24,157.029
104.4,267.24,156.869
104.5,267.24,156.711
104.6,267.24,156.57
104.7,267.24,156.427
104.8,267.24,156.286
104.9,267.24,156.152
105,267.24,155.993
105.1,267.24,155.83
105.2,267.24,155.684
105.3,267.24,155.537
105.4,267.24,155.4
105.5,267.24,155.236
105.6,267.24,155.077
105.7,267.24,154.925
105.8,267.24,154.768
105.9,267.24,154.613
106,267.24,154.46
106.1,267.24,154.298
106.2,267.24,154.159
106.3,267.24,154.005
106.4,267.24,153.853
106.5,267.24,153.714
106.6,267.24,153.573
106.7,267.55,153.433
106.8,267.55,153.299
106.9,267.55,153.168
107,267.55,153.033
107.1,267.55,152.893
107.2,267.55,152.738
107.3,267.55,152.586
107.4,267.55,152.438
107.5,267.634,152.401
107.6,267.782,152.42
107.7,267.935,152.44
107.8,268.078,152.459
107.9,268.232,152.479
108,268.367,152.497
108.1,268.505,152.515
108.2,268.657,152.535
108.3,268.792,152.552
108.4,268.95,152.573
108.5,269.112,152.594
108.6,269.263,152.614
108.7,269.419,152.634
108.8,269.57,152.654
108.9,269.709,152.672
109,269.862,152.692
109.1,270.006,152.711
109.2,270.166,152.732
109.3,270.303,152.75
109.4,270.439,152.768
109.5,270.601,152.789
109.6,270.733,152.795
109.7,270.88,152.794
109.8,271.043,152.793
109.9,271.194,152.793
110,271.344,152.792
110.1,271.505,152.791
110.2,271.662,152.79
110.3,271.796,152.48
110.4,271.93,152.479
110.5,272.052,152.478
110.6,272.176,152.478
110.7,272.297,152.477
110.8,272.439,152.476
110.9,272.58,152.476
111,272.719,152.475
111.1,272.841,152.474
111.2,272.976,152.474
111.3,273.105,152.473
111.4,273.227,152.472
111.5,273.349,152.472
111.6,273.49,152.471
111.7,273.625,152.47
111.8,273.773,152.47
111.9,273.922,152.469
112,274.07,152.468
112.1,274.192,152.468
112.2,274.336,152.467
112.3,274.481,152.466
112.4,274.626,152.465
112.5,274.772,152.465
112.6,274.896,152.464
112.7,275.034,152.463
112.8,275.17,152.463
112.9,275.297,152.462
113,275.419,152.461
113.1,275.547,152.461
113.2,275.672,152.46
113.3,275.806,152.459
113.4,275.932,152.459
113.5,276.079,152.458
113.6,276.204,152.458
113.7,276.347,152.457
113.8,276.493,152.456
113.9,276.627,152.455
114,276.757,152.455
114.1,276.904,152.454
114.2,277.024,152.453
114.3,277.159,152.453
114.4,277.306,152.452
114.5,277.428,152.451
114.6,277.564,152.451
114.7,277.705,152.45
114.8,277.837,152.449
114.9,277.962,152.449
115,278.1,152.448
115.1,278.245,152.447
115.2,278.389,152.447
115.3,278.509,152.446
115.4,278.653,152.445
115.5,278.784,152.445
115.6,278.928,152.444
115.7,279.053,152.443
115.8,279.195,152.443
115.9,279.336,152.442
116,279.466,152.441
116.1,279.586,152.441
116.2,279.804,152.454
116.3,279.923,152.483
116.4,280.057,152.516
116.5,280.199,152.551
116.6,280.33,152.583
116.7,280.454,152.613
116.8,280.595,152.648
116.9,280.722,152.679
117,280.842,152.708
117.1,280.98,152.742
117.2,281.103,152.772
117.3,281.226,152.802
117.4,281.358,152.834
