timestamp,id,sensor,x,y
1.3,car0,0,267.733,168.678,0
1.35,car0,0,267.722,168.73,1
1.4,car0,0,267.711,168.781,1
1.45,car0,0,267.7,168.829,1
1.5,car0,0,267.689,168.883,1
1.55,car0,0,267.676,168.945,1
1.6,car0,0,267.662,169.009,1
1.65,car0,0,267.649,169.073,1
1.7,car0,0,267.636,169.135,1
1.75,car0,0,267.624,169.187,1
1.8,car0,0,267.611,169.25,1
1.85,car0,0,267.598,169.312,1
1.9,car0,0,267.582,169.388,1
1.95,car0,0,267.567,169.456,1
2,car0,0,267.553,169.525,1
2.05,car0,0,267.54,169.583,1
2.1,car0,0,267.527,169.646,1
2.15,car0,0,267.514,169.705,1
2.2,car0,0,267.502,169.764,1
2.25,car0,0,267.489,169.824,1
2.3,car0,0,267.476,169.884,1
2.35,car0,0,267.463,169.945,1
2.4,car0,0,267.449,170.012,1
2.45,car0,0,267.435,170.077,1
2.5,car0,0,267.423,170.136,1
2.55,car0,0,267.41,170.196,1
2.6,car0,0,267.398,170.253,1
2.65,car0,0,267.387,170.306,1
2.7,car0,0,267.376,170.358,1
2.75,car0,0,267.363,170.417,1
2.8,car0,0,267.352,170.471,1
2.85,car0,0,267.34,170.527,1
2.9,car0,0,267.329,170.579,1
2.95,car0,0,267.318,170.631,1
3,car0,0,267.307,170.682,1
3.05,car0,0,267.297,170.73,1
3.1,car0,0,267.286,170.78,1
3.15,car0,0,267.276,170.829,1
3.2,car0,0,267.269,170.861,1
3.25,car0,0,267.258,170.91,1
3.3,car0,0,267.246,170.967,1
3.35,car0,0,267.234,171.022,1
3.4,car0,0,267.222,171.082,1
3.45,car0,0,267.21,171.139,1
3.5,car0,0,267.198,171.195,1
3.55,car0,0,267.186,171.248,1
3.6,car0,0,267.175,171.3,1
3.65,car0,0,267.163,171.356,1
3.7,car0,0,267.153,171.406,1
3.75,car0,0,267.141,171.462,1
3.8,car0,0,267.128,171.521,1
3.85,car0,0,267.117,171.574,1
3.9,car0,0,267.102,171.646,1
3.95,car0,0,267.088,171.712,1
4,car0,0,267.072,171.786,1
4.05,car0,0,267.059,171.846,1
4.1,car0,0,267.044,171.916,1
4.15,car0,0,267.032,171.974,1
4.2,car0,0,267.021,172.027,1
4.25,car0,0,267.01,172.079,1
4.3,car0,0,266.998,172.134,1
4.35,car0,0,266.987,172.188,1
4.4,car0,0,266.975,172.24,1
4.45,car0,0,266.967,172.282,1
4.5,car0,0,266.96,172.313,1
4.55,car0,0,266.948,172.369,1
4.6,car0,0,266.936,172.428,1
4.65,car0,0,266.924,172.481,1
4.7,car0,0,266.911,172.541,1
4.75,car0,0,266.899,172.598,1
4.8,car0,0,266.889,172.648,1
4.85,car0,0,266.875,172.713,1
4.9,car0,0,266.863,172.771,1
4.95,car0,0,266.85,172.83,1
5,car0,0,266.838,172.885,1
5.05,car0,0,266.826,172.942,1
5.1,car0,0,266.814,172.999,1
5.15,car0,0,266.803,173.05,1
5.2,car0,0,266.793,173.101,1
5.25,car0,0,266.782,173.153,1
5.3,car0,0,266.771,173.203,1
5.35,car0,0,266.76,173.254,1
5.4,car0,0,266.749,173.303,1
5.45,car0,0,266.741,173.343,1
5.5,car0,0,266.735,173.371,1
5.55,car0,1,267.328,173.708,1
