id,timestamp,x,y
car0,10.25,268.033,230.783
car0,10.3,268.018,230.715
car0,10.35,268.006,230.656
car0,10.4,267.993,230.596
car0,10.45,267.979,230.533
car0,10.5,267.967,230.472
car0,10.55,267.953,230.408
car0,10.6,267.94,230.348
car0,10.65,267.928,230.289
car0,10.65,268.043,218.367
car0,10.7,267.913,230.219
car0,10.7,268.03,218.432
car0,10.75,267.9,230.157
car0,10.75,268.016,218.493
car0,10.8,267.887,230.098
car0,10.8,268.003,218.556
car0,10.85,267.872,230.029
car0,10.85,267.99,218.616
car0,10.9,267.859,229.964
car0,10.9,267.977,218.677
car0,10.95,267.845,229.9
car0,10.95,267.964,218.739
car0,11,267.832,229.839
car0,11,267.952,218.794
car0,11.05,267.818,229.775
car0,11.05,267.94,218.853
car0,11.1,267.806,229.716
car0,11.1,267.929,218.904
car0,11.15,267.792,229.649
car0,11.15,267.918,218.958
car0,11.2,267.778,229.585
car0,11.2,267.905,219.016
car0,11.25,267.763,229.514
car0,11.25,267.894,219.067
car0,11.3,267.75,229.451
car0,11.3,267.883,219.12
car0,11.35,267.735,229.383
car0,11.35,267.873,219.17
car0,11.4,267.72,229.312
car0,11.4,267.861,219.227
car0,11.45,267.706,229.246
car0,11.45,267.85,219.279
car0,11.5,267.692,229.18
car0,11.5,267.838,219.333
car0,11.55,267.677,229.11
car0,11.55,267.826,219.39
car0,11.6,267.664,229.05
car0,11.6,267.814,219.444
car0,11.65,267.649,228.976
car0,11.65,267.804,219.495
car0,11.7,267.635,228.913
car0,11.7,267.791,219.553
car0,11.75,267.619,228.838
car0,11.75,267.781,219.603
car0,11.8,267.606,228.777
car0,11.8,267.771,219.649
car0,11.85,267.593,228.714
car0,11.85,267.761,219.696
car0,11.9,267.58,228.656
car0,11.9,267.748,219.758
car0,11.95,267.567,228.592
car0,11.95,267.736,219.811
car0,12,267.554,228.532
car0,12,267.724,219.867
car0,12.05,267.541,228.47
car0,12.05,267.711,219.93
car0,12.1,267.529,228.412
car0,12.1,267.697,219.996
car0,12.15,267.516,228.351
car0,12.15,267.684,220.056
car0,12.2,267.504,228.296
car0,12.2,267.672,220.116
car0,12.25,267.492,228.237
car0,12.25,267.66,220.169
car0,12.3,267.479,228.179
car0,12.3,267.647,220.232
car0,12.35,267.466,228.116
car0,12.35,267.634,220.291
car0,12.4,267.453,228.055
car0,12.4,267.624,220.342
car0,12.45,267.438,227.986
car0,12.45,267.611,220.402
car0,12.5,267.424,227.918
car0,12.5,267.598,220.46
car0,12.55,267.411,227.857
car0,12.55,267.587,220.512
car0,12.6,267.399,227.803
car0,12.6,267.577,220.561
