timestamp,person_id,x,y
3.5,personFlow2.0,268.073,187.726
3.55,personFlow1.0,266.84,171.323
3.55,personFlow2.0,268.01,187.722
3.6,personFlow1.0,266.84,171.377
3.6,personFlow2.0,267.951,187.719
3.65,personFlow1.0,266.84,171.435
3.65,personFlow2.0,267.879,187.714
3.7,personFlow1.0,266.84,171.488
3.7,personFlow2.0,267.819,187.711
3.75,personFlow1.0,266.84,171.547
3.75,personFlow2.0,267.76,187.707
3.8,personFlow1.0,266.84,171.61
3.8,personFlow2.0,267.692,187.703
3.85,personFlow1.0,266.84,171.664
3.85,personFlow2.0,267.626,187.699
3.9,personFlow1.0,266.84,171.725
3.9,personFlow2.0,267.554,187.694
3.95,personFlow1.0,266.84,171.781
3.95,personFlow2.0,267.495,187.69
4,personFlow1.0,266.84,171.846
4,personFlow2.0,267.429,187.686
4.05,personFlow1.0,266.84,171.9
4.05,personFlow2.0,267.363,187.682
4.1,personFlow1.0,266.84,171.963
4.1,personFlow2.0,267.303,187.679
4.15,personFlow1.0,266.84,172.018
4.15,personFlow2.0,267.236,187.674
4.2,personFlow1.0,266.84,172.07
4.2,personFlow2.0,267.58,188.094
4.25,personFlow1.0,266.84,172.123
4.25,personFlow2.0,267.58,188.033
4.3,personFlow1.0,266.84,172.182
4.3,personFlow2.0,267.58,187.972
4.35,personFlow1.0,266.84,172.243
4.35,personFlow2.0,267.58,187.903
4.4,personFlow1.0,266.84,172.306
4.4,personFlow2.0,267.58,187.837
4.45,personFlow1.0,266.84,172.367
4.45,personFlow2.0,267.58,187.775
4.5,personFlow1.0,266.84,172.426
4.5,personFlow2.0,267.58,187.707
4.55,personFlow1.0,266.84,172.481
4.55,personFlow2.0,267.58,187.637
4.6,personFlow1.0,266.84,172.538
4.6,personFlow2.0,267.58,187.566
4.65,personFlow1.0,266.84,172.593
4.65,personFlow2.0,267.58,187.495
4.7,personFlow1.0,266.84,172.657
4.7,personFlow2.0,267.58,187.426
4.75,personFlow1.0,266.84,172.719
4.75,personFlow2.0,267.58,187.356
4.8,personFlow1.0,266.84,172.772
4.8,personFlow2.0,267.58,187.288
4.85,personFlow1.0,266.84,172.834
4.85,personFlow2.0,267.58,187.228
4.9,personFlow1.0,266.84,172.893
4.9,personFlow2.0,267.58,187.158
4.95,personFlow1.0,266.84,172.955
4.95,personFlow2.0,267.58,187.099
5,personFlow1.0,266.84,173.017
5,personFlow2.0,267.58,187.04
5.05,personFlow1.0,266.84,173.075
5.05,personFlow2.0,267.58,186.979
5.1,personFlow1.0,266.84,173.135
5.1,personFlow2.0,267.58,186.907
5.15,personFlow1.0,266.84,173.193
5.15,personFlow2.0,267.58,186.835
5.2,personFlow1.0,266.84,173.248
5.2,personFlow2.0,267.58,186.773
5.25,personFlow1.0,266.84,173.304
5.25,personFlow2.0,267.58,186.702
5.3,personFlow1.0,266.84,173.364
5.3,personFlow2.0,267.58,186.63
5.35,personFlow1.0,266.84,173.421
5.35,personFlow2.0,267.58,186.558
5.4,personFlow1.0,266.84,173.481
5.4,personFlow2.0,267.58,186.497
5.45,personFlow1.0,266.84,173.536
5.45,personFlow2.0,267.58,186.433
5.5,personFlow1.0,266.84,173.599
5.5,personFlow2.0,267.58,186.375
5.55,personFlow1.0,266.84,173.659
5.55,personFlow2.0,267.58,186.304
5.6,personFlow1.0,266.84,173.717
5.6,personFlow2.0,267.58,186.232
5.65,personFlow1.0,266.84,173.774
5.65,personFlow2.0,267.58,186.162
5.7,personFlow1.0,266.84,173.832
5.7,personFlow2.0,267.58,186.103
5.75,personFlow1.0,266.84,173.886
5.75,personFlow2.0,267.58,186.034
5.8,personFlow1.0,266.84,173.939
5.8,personFlow2.0,267.58,185.965
5.85,personFlow1.0,266.84,174.002
5.85,personFlow2.0,267.58,185.897
5.9,personFlow1.0,266.84,174.063
5.9,personFlow2.0,267.58,185.831
5.95,personFlow1.0,266.84,174.125
5.95,personFlow2.0,267.58,185.769
