timestamp,x,y,car_id,sensor_id
57.4,266.84,168.627,car0,0
57.45,266.84,168.684,car0,0
57.5,266.84,168.732,car0,0
57.55,266.84,168.79,car0,0
57.6,266.84,168.843,car0,0
57.65,266.84,168.901,car0,0
57.7,266.84,168.952,car0,0
57.75,266.84,169.004,car0,0
57.8,266.84,169.062,car0,0
57.85,266.84,169.114,car0,0
57.9,266.84,169.17,car0,0
57.95,266.84,169.227,car0,0
58.0,266.84,169.279,car0,0
58.05,266.84,169.333,car0,0
58.1,266.84,169.384,car0,0
58.15,266.84,169.437,car0,0
58.2,266.84,169.495,car0,0
58.25,266.84,169.549,car0,0
58.3,266.84,169.598,car0,0
58.35,266.84,169.646,car0,0
58.4,266.84,169.701,car0,0
58.45,266.84,169.76,car0,0
58.5,266.84,169.818,car0,0
58.55,266.84,169.867,car0,0
58.6,266.84,169.922,car0,0
58.65,266.84,169.98,car0,0
58.7,266.84,170.029,car0,0
58.75,266.84,170.084,car0,0
58.8,266.84,170.139,car0,0
58.85,266.84,170.189,car0,0
58.9,266.84,170.237,car0,0
58.95,266.84,170.296,car0,0
59.0,266.84,170.355,car0,0
59.05,266.84,170.407,car0,0
59.1,266.84,170.458,car0,0
59.15,266.84,170.509,car0,0
59.2,266.84,170.561,car0,0
59.25,266.84,170.616,car0,0
59.3,266.84,170.676,car0,0
59.35,266.84,170.732,car0,0
59.4,266.84,170.783,car0,0
59.45,266.84,170.834,car0,0
59.5,266.84,170.884,car0,0
59.55,266.84,170.937,car0,0
59.6,266.84,170.994,car0,0
59.65,266.84,171.051,car0,0
59.7,266.84,171.102,car0,0
59.75,266.84,171.154,car0,0
59.8,266.84,171.213,car0,0
59.85,266.84,171.266,car0,0
59.9,266.84,171.317,car0,0
59.95,266.84,171.367,car0,0
60.0,266.84,171.417,car0,0
60.05,266.84,171.471,car0,0
60.1,266.84,171.524,car0,0
60.15,266.84,171.58,car0,0
60.2,266.84,171.632,car0,0
60.25,266.84,171.686,car0,0
60.3,266.84,171.736,car0,0
60.35,266.84,171.791,car0,0
60.4,266.84,171.842,car0,0
60.45,266.84,171.898,car0,0
60.5,266.84,171.949,car0,0
60.55,266.84,172.001,car0,0
60.6,266.84,172.06,car0,0
60.65,266.84,172.108,car0,0
60.7,266.84,172.159,car0,0
60.75,266.84,172.213,car0,0
60.8,266.84,172.269,car0,0
60.85,266.84,172.319,car0,0
60.9,266.84,172.373,car0,0
60.95,266.84,172.426,car0,0
61.0,266.84,172.483,car0,0
61.05,266.84,172.541,car0,0
61.1,266.84,172.599,car0,0
61.15,266.84,172.651,car0,0
61.2,266.84,172.71,car0,0
61.25,266.84,172.768,car0,0
61.3,266.84,172.826,car0,0
61.35,266.84,172.885,car0,0
61.4,266.84,172.942,car0,0
61.45,266.84,172.991,car0,0
61.5,266.84,173.046,car0,0
61.55,266.84,173.105,car0,0
61.6,266.84,173.161,car0,0
61.65,266.84,173.218,car0,0
61.7,266.84,173.267,car0,0
61.75,266.84,173.315,car0,0
61.8,266.84,173.364,car0,0
61.85,266.84,173.419,car0,0
61.9,266.84,173.467,car0,0
61.95,266.84,173.526,car0,0
62.0,266.84,173.577,car0,0
62.05,266.84,173.629,car0,0
62.1,266.84,173.681,car0,0
62.15,266.84,173.736,car0,0
62.2,266.84,173.795,car0,0
62.25,266.84,173.844,car0,0
62.3,266.84,173.895,car0,0
62.35,266.84,173.946,car0,0
62.4,266.84,174.003,car0,1
62.45,266.84,174.061,car0,1
62.5,266.84,174.12,car0,1
62.55,266.84,174.172,car0,1
62.6,266.84,174.227,car0,1
62.65,266.84,174.286,car0,1
62.7,266.84,174.345,car0,1
62.75,266.84,174.401,car0,1
62.8,266.84,174.45,car0,1
62.85,266.84,174.502,car0,1
62.9,266.84,174.558,car0,1
62.95,266.84,174.613,car0,2
63.0,266.84,174.672,car0,2
63.05,266.84,174.721,car0,2
63.1,266.84,174.773,car0,2
63.15,266.84,174.821,car0,2
63.2,266.84,174.879,car0,2
63.25,266.84,174.934,car0,2
63.3,266.84,174.986,car0,3
63.35,266.84,175.035,car0,3
63.4,266.84,175.091,car0,3
63.45,266.84,175.144,car0,3
63.5,266.84,175.197,car0,3
63.55,266.84,175.257,car0,3
63.6,266.84,175.311,car0,3
63.65,266.84,175.368,car0,3
63.7,266.84,175.415,car0,3
63.75,266.84,175.464,car0,4
63.8,266.84,175.522,car0,4
63.85,266.84,175.579,car0,4
63.9,266.84,175.637,car0,4
63.95,266.84,175.693,car0,4
64.0,266.84,175.742,car0,4
64.05,266.84,175.794,car0,4
64.1,266.84,175.843,car0,4
64.15,266.84,175.899,car0,4
64.2,266.84,175.947,car0,4
64.25,266.84,176.0,car0,4
64.3,266.84,176.049,car0,4
64.35,266.84,176.104,car0,4
64.4,266.84,176.161,car0,5
64.45,266.84,176.218,car0,5
64.5,266.84,176.277,car0,5
64.55,266.84,176.329,car0,5
64.6,266.84,176.386,car0,5
64.65,266.84,176.442,car0,5
64.7,266.84,176.499,car0,5
64.75,266.84,176.559,car0,5
64.8,266.84,176.618,car0,5
64.85,266.84,176.67,car0,5
64.9,266.84,176.725,car0,5
64.95,266.84,176.773,car0,5
65.0,266.84,176.824,car0,5
65.05,266.84,176.883,car0,5
65.1,266.84,176.938,car0,5
65.15,266.84,176.986,car0,5
65.2,266.84,177.035,car0,5
65.25,266.84,177.086,car0,5
65.3,266.84,177.139,car0,5
65.35,266.84,177.187,car0,5
65.4,266.84,177.235,car0,5
65.45,266.84,177.295,car0,5
65.5,266.84,177.348,car0,5
65.55,266.84,177.401,car0,5
65.6,266.84,177.452,car0,5
65.65,266.84,177.504,car0,5
65.7,266.84,177.558,car0,5
65.75,266.84,177.614,car0,5
65.8,266.84,177.67,car0,5
65.85,266.84,177.728,car0,5
65.9,266.84,177.78,car0,5
65.95,266.84,177.831,car0,5
66.0,266.84,177.885,car0,5
66.05,266.84,177.934,car0,5
66.1,266.84,177.989,car0,5
66.15,266.84,178.037,car0,5
66.2,266.84,178.09,car0,5
66.25,266.84,178.147,car0,5
66.3,266.84,178.197,car0,5
66.35,266.84,178.244,car0,5
66.4,266.84,178.301,car0,5
66.45,266.84,178.349,car0,5
66.5,266.84,178.402,car0,5
66.55,266.84,178.456,car0,5
66.6,266.84,178.505,car0,5
66.65,266.84,178.555,car0,5
66.7,266.84,178.612,car0,5
66.75,266.84,178.661,car0,5
66.8,266.84,178.717,car0,5
66.85,266.84,178.773,car0,5
66.9,266.84,178.825,car0,5
66.95,266.84,178.874,car0,5
67.0,266.84,178.924,car0,5
67.05,266.84,178.976,car0,5
67.1,266.84,179.027,car0,5
67.15,266.84,179.076,car0,5
67.2,266.84,179.134,car0,5
67.25,266.84,179.19,car0,5
