timestamp,x_gt,y_gt,car_id,sensor_id
51.5,266.84,177.778,car0,5
51.55,266.84,177.836,car0,5
51.6,266.84,177.893,car0,5
51.65,266.84,177.953,car0,5
51.7,266.84,178.011,car0,5
51.75,266.84,178.071,car0,5
51.8,266.84,178.12,car0,5
51.85,266.84,178.178,car0,5
51.9,266.84,178.231,car0,5
51.95,266.84,178.284,car0,5
52.0,266.84,178.337,car0,5
52.05,266.84,178.397,car0,5
52.1,266.84,178.448,car0,5
52.15,266.84,178.504,car0,5
52.2,266.84,178.559,car0,5
52.25,266.84,178.616,car0,5
52.3,266.84,178.677,car0,5
52.35,266.84,178.736,car0,5
52.4,266.84,178.797,car0,5
52.45,266.84,178.846,car0,5
52.5,266.84,178.903,car0,5
52.55,266.84,178.952,car0,5
52.6,266.84,179.008,car0,5
52.65,266.84,179.061,car0,5
52.7,266.84,179.119,car0,5
52.75,266.84,179.179,car0,5
52.8,266.84,179.233,car0,5
52.85,266.84,179.286,car0,5
52.9,266.84,179.347,car0,5
52.95,266.84,179.404,car0,5
53.0,266.84,179.463,car0,5
53.05,266.84,179.513,car0,5
53.1,266.84,179.563,car0,5
53.15,266.84,179.613,car0,5
53.2,266.84,179.664,car0,5
53.25,266.84,179.72,car0,5
53.3,266.84,179.782,car0,5
53.35,266.84,179.833,car0,5
53.4,266.84,179.882,car0,5
53.45,266.84,179.938,car0,5
53.5,266.84,179.993,car0,5
53.55,266.84,180.049,car0,5
53.6,266.84,180.106,car0,5
53.65,266.84,180.159,car0,5
53.7,266.84,180.22,car0,5
53.75,266.84,180.269,car0,5
53.8,266.84,180.324,car0,5
53.85,266.84,180.381,car0,5
53.9,266.84,180.434,car0,5
53.95,266.84,180.483,car0,5
54.0,266.84,180.537,car0,5
54.05,266.84,180.593,car0,5
54.1,266.84,180.653,car0,5
54.15,266.84,180.704,car0,5
54.2,266.84,180.764,car0,5
54.25,266.84,180.822,car0,5
54.3,266.84,180.877,car0,5
54.35,266.84,180.938,car0,5
54.4,266.84,180.989,car0,5
54.45,266.84,181.049,car0,5
54.5,266.84,181.109,car0,5
54.55,266.84,181.161,car0,5
54.6,266.84,181.213,car0,5
54.65,266.84,181.269,car0,5
54.7,266.84,181.323,car0,5
54.75,266.84,181.375,car0,5
54.8,266.84,181.435,car0,5
54.85,266.84,181.488,car0,5
54.9,266.84,181.538,car0,5
54.95,266.84,181.598,car0,5
