timestamp,person_id,x_gt,y_gt
8,personFlow1.0,266.84,176.54
8.05,personFlow1.0,266.84,176.6
8.1,personFlow1.0,266.84,176.663
8.15,personFlow1.0,266.84,176.717
8.2,personFlow1.0,266.84,176.772
8.25,personFlow1.0,266.84,176.832
8.3,personFlow1.0,266.84,176.884
8.35,personFlow1.0,266.84,176.943
8.4,personFlow1.0,266.84,176.996
8.45,personFlow1.0,266.84,177.051
8.5,personFlow1.0,266.84,177.11
8.55,personFlow1.0,266.84,177.164
8.6,personFlow1.0,266.84,177.224
8.65,personFlow1.0,266.84,177.287
8.7,personFlow1.0,266.84,177.35
8.75,personFlow1.0,266.84,177.409
8.8,personFlow1.0,266.84,177.47
8.85,personFlow1.0,266.84,177.526
8.9,personFlow1.0,266.84,177.585
8.95,personFlow1.0,266.84,177.646
9,personFlow1.0,266.84,177.7
9.05,personFlow1.0,266.84,177.763
9.1,personFlow1.0,266.84,177.821
9.15,personFlow1.0,266.84,177.884
9.2,personFlow1.0,266.84,177.939
9.25,personFlow1.0,266.84,178.003
9.3,personFlow1.0,266.84,178.067
9.35,personFlow1.0,266.84,178.129
9.4,personFlow1.0,266.84,178.191
9.45,personFlow1.0,266.84,178.253
9.5,personFlow1.0,266.84,178.307
9.55,personFlow1.0,266.84,178.368
9.6,personFlow1.0,266.84,178.429
9.65,personFlow1.0,266.84,178.483
9.7,personFlow1.0,266.84,178.542
9.75,personFlow1.0,266.84,178.605
9.8,personFlow1.0,266.84,178.667
9.85,personFlow1.0,266.84,178.72
9.9,personFlow1.0,266.84,178.782
9.95,personFlow1.0,266.84,178.835
10,personFlow1.0,266.84,178.893
10.05,personFlow1.0,266.84,178.948
10.05,personFlow1.1,266.84,167.201
10.1,personFlow1.0,266.84,179.008
10.1,personFlow1.1,266.84,167.27
10.15,personFlow1.0,266.84,179.065
10.15,personFlow1.1,266.84,167.34
10.2,personFlow1.0,266.84,179.121
10.2,personFlow1.1,266.84,167.4
10.25,personFlow1.0,266.84,179.177
10.25,personFlow1.1,266.84,167.468
10.3,personFlow1.0,266.84,179.236
10.3,personFlow1.1,266.84,167.538
10.35,personFlow1.0,266.84,179.294
10.35,personFlow1.1,266.84,167.607
10.4,personFlow1.0,266.84,179.353
10.4,personFlow1.1,266.84,167.666
10.45,personFlow1.0,266.84,179.409
10.45,personFlow1.1,266.84,167.728
10.5,personFlow1.0,266.84,179.471
10.5,personFlow1.1,266.84,167.784
10.55,personFlow1.0,266.84,179.531
10.55,personFlow1.1,266.84,167.853
10.6,personFlow1.0,266.84,179.59
10.6,personFlow1.1,266.84,167.923
10.65,personFlow1.0,266.84,179.647
10.65,personFlow1.1,266.84,167.99
10.7,personFlow1.0,266.84,179.705
10.7,personFlow1.1,266.84,168.046
10.75,personFlow1.0,266.84,179.759
10.75,personFlow1.1,266.84,168.113
10.8,personFlow1.0,266.84,179.812
10.8,personFlow1.1,266.84,168.18
10.85,personFlow1.0,266.84,179.874
10.85,personFlow1.1,266.84,168.246
10.9,personFlow1.0,266.84,179.936
10.9,personFlow1.1,266.84,168.309
10.95,personFlow1.0,266.84,179.997
10.95,personFlow1.1,266.84,168.369
11,personFlow1.0,266.84,180.052
11,personFlow1.1,266.84,168.435
11.05,personFlow1.0,266.84,180.105
11.05,personFlow1.1,266.84,168.5
11.1,personFlow1.0,266.84,180.169
11.1,personFlow1.1,266.84,168.567
11.15,personFlow1.0,266.84,180.227
11.15,personFlow1.1,266.84,168.636
11.2,personFlow1.0,266.84,180.292
11.2,personFlow1.1,266.84,168.706
11.25,personFlow1.0,266.84,180.345
11.25,personFlow1.1,266.84,168.773
11.3,personFlow1.0,266.84,180.406
11.3,personFlow1.1,266.84,168.839
11.35,personFlow1.0,266.84,180.47
11.35,personFlow1.1,266.84,168.898
11.4,personFlow1.0,266.84,180.528
11.4,personFlow1.1,266.84,168.96
11.45,personFlow1.0,266.84,180.587
11.45,personFlow1.1,266.84,169.024
11.5,personFlow1.0,266.84,180.643
