timestamp,x_gt,y_gt,track_id,x_track,y_track,car_id,sensor_id
1.3,266.84,168.675,2.0,267.736,168.664,car0,0
1.35,266.84,168.729,2.0,267.725,168.714,car0,0
1.4,266.84,168.783,2.0,267.714,168.764,car0,0
1.45,266.84,168.843,2.0,267.703,168.819,car0,0
1.5,266.84,168.901,2.0,267.692,168.871,car0,0
1.55,266.84,168.963,2.0,267.679,168.931,car0,0
1.6,266.84,169.027,2.0,267.665,168.998,car0,0
1.65,266.84,169.089,2.0,267.651,169.06,car0,0
1.7,266.84,169.144,2.0,267.64,169.115,car0,0
1.75,266.84,169.207,2.0,267.626,169.179,car0,0
1.8,266.84,169.259,2.0,267.615,169.23,car0,0
1.85,266.84,169.324,2.0,267.602,169.295,car0,0
1.9,266.84,169.38,2.0,267.588,169.36,car0,0
1.95,266.84,169.441,2.0,267.573,169.429,car0,0
2.0,266.84,169.505,2.0,267.559,169.496,car0,0
2.05,266.84,169.568,2.0,267.545,169.563,car0,0
2.1,266.84,169.628,2.0,267.531,169.626,car0,0
2.15,266.84,169.68,2.0,267.52,169.68,car0,0
2.2,266.84,169.742,2.0,267.506,169.744,car0,0
2.25,266.84,169.804,2.0,267.492,169.808,car0,0
2.3,266.84,169.867,2.0,267.479,169.873,car0,0
2.35,266.84,169.925,2.0,267.466,169.933,car0,0
2.4,266.84,169.987,2.0,267.452,169.996,car0,0
2.45,266.84,170.041,2.0,267.441,170.052,car0,0
2.5,266.84,170.105,2.0,267.427,170.118,car0,0
2.55,266.84,170.162,2.0,267.414,170.175,car0,0
2.6,266.84,170.218,2.0,267.402,170.232,car0,0
2.65,266.84,170.275,2.0,267.39,170.29,car0,0
2.7,266.84,170.331,2.0,267.378,170.345,car0,0
2.75,266.84,170.384,2.0,267.367,170.397,car0,0
2.8,266.84,170.437,2.0,267.356,170.448,car0,0
2.85,266.84,170.498,2.0,267.344,170.507,car0,0
2.9,266.84,170.556,2.0,267.332,170.563,car0,0
