timestamp,x_gt,y_gt
145.1,267.37,152.48
145.2,267.232,152.48
145.3,267.111,152.48
145.4,266.971,152.48
145.5,266.834,152.48
145.6,266.686,152.48
145.7,266.542,152.48
145.8,266.41,152.48
145.9,266.259,152.48
146,266.12,152.48
146.1,265.979,152.48
146.2,265.841,152.48
146.3,265.713,152.48
146.4,265.562,152.48
146.5,265.415,152.48
146.6,265.292,152.48
146.7,265.159,152.48
146.8,265.036,152.48
146.9,264.896,152.48
147,264.761,152.48
147.1,264.63,152.48
147.2,264.503,152.48
147.3,264.367,152.48
147.4,264.219,152.48
147.5,264.093,152.48
147.6,263.963,152.48
147.7,263.838,152.48
147.8,263.698,152.48
147.9,263.558,152.48
148,263.42,152.48
148.1,263.287,152.48
148.2,263.164,152.48
148.3,263.022,152.48
148.4,262.881,152.48
148.5,262.737,152.48
148.6,262.605,152.48
148.7,262.468,152.48
148.8,262.346,152.48
148.9,262.221,152.48
149,262.076,152.48
149.1,261.929,152.48
149.2,261.778,152.48
149.3,261.632,152.48
149.4,261.486,152.48
149.5,261.354,152.48
149.6,261.229,152.48
149.7,261.1,152.48
149.8,260.962,152.48
149.9,260.839,152.48
150,260.704,152.48
150.1,260.566,152.48
150.2,260.429,152.48
150.3,260.29,152.48
150.4,260.139,152.48
150.5,260.017,152.48
150.6,259.89,152.48
150.7,259.742,152.48
150.8,259.617,152.48
150.9,259.494,152.48
151,259.346,152.48
151.1,259.204,152.48
151.2,259.078,152.48
151.3,258.952,152.48
151.4,258.822,152.48
151.5,258.687,152.48
151.6,258.558,152.48
151.7,258.407,152.48
151.8,258.256,152.48
151.9,258.114,152.48
152,257.986,152.48
152.1,257.844,152.48
152.2,257.722,152.48
152.3,257.594,152.48
152.4,257.451,152.48
152.5,257.312,152.48
152.6,257.171,152.48
152.7,257.024,152.48
152.8,256.876,152.48
152.9,256.736,152.48
153,256.598,152.48
153.1,256.462,152.48
153.2,256.339,152.48
153.3,256.2,152.48
153.4,256.077,152.48
153.5,255.939,152.48
153.6,255.797,152.48
153.7,255.647,152.48
153.8,255.502,152.48
153.9,255.37,152.48
154,255.228,152.48
154.1,255.09,152.48
154.2,254.943,152.48
154.3,254.799,152.48
154.4,254.653,152.79
154.5,254.511,152.79
154.6,254.381,152.79
154.7,254.248,152.79
154.8,254.106,152.79
154.9,253.956,152.79
155,253.81,152.78
155.1,253.66,152.76
155.2,253.512,152.74
155.3,253.382,152.722
155.4,253.235,152.702
155.5,253.103,152.684
155.6,252.963,152.665
155.7,252.826,152.646
155.8,252.699,152.628
155.9,252.553,152.608
156,252.415,152.589
156.1,252.272,152.57
156.2,252.138,152.552
156.3,252.017,152.535
156.4,251.885,152.517
156.5,251.736,152.497
156.6,251.595,152.477
156.7,251.465,152.46
156.8,251.317,152.439
156.9,251.25,152.513
157,251.25,152.638
157.1,251.25,152.766
157.2,251.25,152.893
157.3,251.25,153.037
157.4,251.25,153.169
157.5,251.25,153.319
157.6,250.94,153.47
157.7,250.94,153.62
157.8,250.94,153.767
157.9,250.94,153.905
158,250.94,154.034
158.1,250.94,154.17
158.2,250.94,154.31
158.3,250.94,154.446
158.4,250.94,154.579
158.5,250.94,154.702
158.6,250.94,154.849
158.7,250.94,154.995
158.8,250.94,155.147
158.9,250.94,155.294
159,250.94,155.44
159.1,250.94,155.562
159.2,250.94,155.713
159.3,250.94,155.837
159.4,250.94,155.975
159.5,250.94,156.106
159.6,250.94,156.239
159.7,250.94,156.385
159.8,250.94,156.509
159.9,250.94,156.659
160,250.94,156.781
160.1,250.94,156.919
160.2,250.94,157.067
160.3,250.94,157.207
160.4,250.94,157.346
160.5,250.94,157.471
160.6,250.94,157.599
160.7,250.94,157.731
160.8,250.94,157.879
160.9,250.94,158.022
161,250.94,158.171
161.1,250.94,158.317
161.2,250.94,158.451
161.3,250.94,158.583
161.4,250.94,158.705
161.5,250.94,158.829
161.6,250.94,158.954
161.7,250.94,159.1
161.8,250.94,159.241
161.9,250.94,159.37
162,250.94,159.503
162.1,250.94,159.628
162.2,250.94,159.777
162.3,250.94,159.919
162.4,250.94,160.068
162.5,250.94,160.207
162.6,250.94,160.344
162.7,250.94,160.484
162.8,250.94,160.626
162.9,250.94,160.768
163,250.94,160.908
163.1,250.94,161.038
163.2,250.94,161.176
163.3,250.94,161.312
163.4,250.94,161.441
163.5,250.94,161.582
163.6,250.94,161.731
163.7,250.94,161.857
163.8,250.94,161.995
163.9,250.94,162.121
164,250.94,162.257
164.1,250.94,162.407
164.2,250.94,162.536
164.3,250.94,162.663
164.4,250.94,162.811
164.5,250.94,162.942
164.6,250.94,163.065
164.7,250.94,163.193
164.8,250.94,163.339
164.9,250.94,163.487
165,250.94,163.634
165.1,250.94,163.765
165.2,250.94,163.909
165.3,250.94,164.04
165.4,250.94,164.173
165.5,250.94,164.3
165.6,250.94,164.425
165.7,250.94,164.571
165.8,250.94,164.701
165.9,250.94,164.844
166,250.94,164.986
166.1,250.94,165.113
166.2,250.94,165.252
