timestamp,x_gt,y_gt
133.1,283.95,161.74
133.2,283.95,161.616
133.3,283.95,161.511
133.4,283.95,161.402
133.5,283.95,161.289
133.6,283.95,161.18
133.7,283.95,161.072
133.8,283.95,160.943
133.9,283.95,160.824
134,283.95,160.699
134.1,283.95,160.576
134.2,283.95,160.447
134.3,283.95,160.323
134.4,283.95,160.208
134.5,283.95,160.096
134.6,283.95,159.969
134.7,283.95,159.845
134.8,283.95,159.717
134.9,283.95,159.611
135,283.95,159.482
135.1,283.95,159.373
135.2,283.95,159.263
135.3,283.95,159.148
135.4,283.95,159.024
135.5,283.95,158.895
135.6,283.95,158.778
135.7,283.95,158.664
135.8,283.95,158.541
135.9,283.95,158.429
136,283.95,158.305
136.1,283.95,158.197
136.2,283.95,158.071
136.3,283.95,157.954
136.4,283.95,157.847
136.5,283.95,157.735
136.6,283.95,157.608
136.7,283.95,157.484
136.8,283.95,157.375
136.9,283.95,157.256
137,283.95,157.143
137.1,283.95,157.029
137.2,283.95,156.923
137.3,283.94,156.754
137.4,283.921,156.636
137.5,283.901,156.518
137.6,283.882,156.405
137.7,283.863,156.291
137.8,283.845,156.181
137.9,283.827,156.073
138,283.808,155.958
138.1,283.789,155.842
138.2,283.769,155.723
138.3,283.749,155.6
138.4,283.729,155.479
138.5,283.71,155.364
138.6,283.69,155.243
138.7,283.669,155.117
138.8,283.649,154.998
138.9,283.628,154.871
139,283.611,154.765
139.1,283.591,154.647
139.2,283.571,154.529
139.3,283.554,154.426
139.4,283.537,154.323
139.5,283.518,154.209
139.6,283.499,154.09
139.7,283.479,153.968
139.8,283.461,153.864
139.9,283.442,153.748
140,283.422,153.629
140.1,283.164,153.277
140.2,283.061,153.251
140.3,282.938,153.221
140.4,282.826,153.194
140.5,282.708,153.165
140.6,282.59,153.136
140.7,282.485,153.11
140.8,282.38,153.085
140.9,282.276,153.059
141,282.172,153.034
141.1,282.064,153.007
141.2,281.94,152.977
141.3,281.814,152.946
141.4,281.696,152.917
141.5,281.581,152.889
141.6,281.466,152.861
141.7,281.341,152.83
141.8,281.222,152.801
141.9,281.112,152.774
142,280.987,152.744
142.1,280.873,152.716
142.2,280.768,152.69
142.3,280.663,152.664
142.4,280.553,152.637
142.5,280.44,152.61
142.6,280.338,152.585
142.7,280.226,152.557
142.8,280.111,152.529
142.9,280,152.502
143,279.891,152.475
143.1,279.786,152.45
143.2,279.605,152.441
143.3,279.479,152.441
143.4,279.369,152.442
143.5,279.26,152.442
143.6,279.132,152.443
143.7,279.025,152.443
143.8,278.903,152.444
143.9,278.789,152.445
144,278.672,152.445
144.1,278.549,152.446
144.2,278.431,152.446
144.3,278.321,152.447
144.4,278.209,152.447
144.5,278.097,152.448
144.6,277.97,152.449
144.7,277.846,152.449
144.8,277.739,152.45
144.9,277.625,152.45
145,277.515,152.451
145.1,277.4,152.452
145.2,277.281,152.452
145.3,277.161,152.453
145.4,277.044,152.453
145.5,276.938,152.454
145.6,276.816,152.454
145.7,276.69,152.455
145.8,276.577,152.456
145.9,276.449,152.456
146,276.33,152.457
146.1,276.206,152.457
146.2,276.094,152.458
146.3,275.966,152.459
146.4,275.848,152.459
146.5,275.724,152.46
146.6,275.594,152.461
146.7,275.489,152.461
146.8,275.384,152.462
146.9,275.258,152.462
147,275.129,152.463
147.1,275.016,152.463
147.2,274.9,152.464
147.3,274.777,152.465
147.4,274.653,152.465
147.5,274.527,152.466
147.6,274.4,152.467
147.7,274.275,152.467
147.8,274.155,152.468
147.9,274.032,152.468
148,273.907,152.469
148.1,273.782,152.47
148.2,273.665,152.47
148.3,273.546,152.471
148.4,273.433,152.471
148.5,273.312,152.472
148.6,273.203,152.472
148.7,273.088,152.473
148.8,272.977,152.474
148.9,272.855,152.474
149,272.747,152.475
149.1,272.623,152.475
149.2,272.507,152.476
149.3,272.388,152.477
149.4,272.276,152.477
149.5,272.147,152.478
149.6,272.019,152.478
149.7,271.909,152.479
149.8,271.792,152.48
149.9,271.661,152.79
150,271.525,152.791
150.1,271.395,152.792
150.2,271.279,152.792
150.3,271.165,152.793
150.4,271.033,152.793
150.5,270.898,152.794
150.6,270.773,152.795
150.7,270.636,152.793
150.8,270.506,152.776
150.9,270.389,152.761
151,270.263,152.745
151.1,270.134,152.728
151.2,270.001,152.71
151.3,269.861,152.692
151.4,269.734,152.675
151.5,269.611,152.659
151.6,269.489,152.643
151.7,269.358,152.626
151.8,269.227,152.609
151.9,269.099,152.592
152,268.967,152.575
152.1,268.827,152.557
152.2,268.704,152.541
152.3,268.568,152.523
152.4,268.438,152.506
152.5,268.315,152.49
152.6,268.185,152.473
152.7,268.057,152.456
152.8,267.935,152.44
152.9,267.8,152.423
153,267.675,152.406
153.1,267.554,152.39
153.2,267.55,152.509
153.3,267.55,152.636
153.4,267.55,152.768
153.5,267.55,152.897
153.6,267.55,153.024
153.7,267.55,153.145
153.8,267.55,153.262
153.9,267.55,153.379
154,267.24,153.516
154.1,267.24,153.646
154.2,267.24,153.768
154.3,267.24,153.893
154.4,267.24,154.012
154.5,267.24,154.135
154.6,267.24,154.26
154.7,267.24,154.378
154.8,267.24,154.507
154.9,267.24,154.634
155,267.24,154.76
155.1,267.24,154.891
155.2,267.24,155.032
155.3,267.24,155.174
155.4,267.24,155.303
155.5,267.24,155.439
155.6,267.24,155.562
155.7,267.24,155.683
155.8,267.24,155.801
155.9,267.24,155.919
156,267.24,156.045
156.1,267.24,156.175
156.2,267.24,156.293
156.3,267.24,156.433
156.4,267.24,156.557
156.5,267.24,156.698
156.6,267.24,156.814
156.7,267.24,156.939
156.8,267.24,157.076
156.9,267.24,157.205
157,267.24,157.321
157.1,267.24,157.437
157.2,267.24,157.572
157.3,267.24,157.692
157.4,267.24,157.821
157.5,267.24,157.936
157.6,267.24,158.067
157.7,267.24,158.207
157.8,267.24,158.346
157.9,267.24,158.463
158,267.24,158.587
158.1,267.24,158.718
158.2,267.24,158.856
158.3,267.24,158.983
158.4,267.24,159.121
158.5,267.24,159.258
158.6,267.24,159.374
158.7,267.24,159.517
158.8,267.24,159.643
158.9,267.24,159.762
159,267.24,159.9
159.1,267.24,160.038
159.2,267.24,160.156
159.3,267.24,160.272
159.4,267.24,160.41
159.5,267.24,160.545
159.6,267.24,160.67
159.7,267.24,160.807
159.8,267.24,160.933
159.9,267.24,161.064
160,267.24,161.206
160.1,267.24,161.321
160.2,267.24,161.46
160.3,267.24,161.584
160.4,267.24,161.705
160.5,267.24,161.834
160.6,267.24,161.971
160.7,267.24,162.113
160.8,267.24,162.25
160.9,267.24,162.387
161,267.24,162.51
161.1,267.24,162.651
161.2,267.24,162.788
161.3,267.24,162.926
161.4,267.24,163.058
161.5,267.24,163.174
161.6,267.24,163.294
161.7,267.24,163.42
161.8,267.24,163.539
161.9,267.24,163.655
162,267.24,163.78
162.1,267.24,163.901
162.2,267.24,164.035
162.3,267.24,164.178
162.4,267.24,164.301
162.5,267.24,164.434
162.6,267.24,164.556
162.7,267.24,164.69
162.8,267.24,164.826
162.9,267.24,164.958
163,267.24,165.088
163.1,267.24,165.212
163.2,267.24,165.343
163.3,267.24,165.477
163.4,267.24,165.6
163.5,267.24,165.734
163.6,267.24,165.875
163.7,267.24,166.006
163.8,267.24,166.128
163.9,267.24,166.244
164,267.24,166.383
164.1,267.24,166.507
164.2,267.24,166.634
164.3,267.24,166.763
164.4,267.24,166.893
164.5,267.24,167.019
164.6,267.24,167.145
164.7,267.24,167.267
164.8,267.24,167.385
164.9,267.24,167.522
165,267.24,167.661
165.1,267.24,167.797
165.2,267.24,167.937
165.3,267.24,168.079
165.4,267.24,168.214
165.5,267.24,168.344
165.6,267.24,168.483
165.7,267.24,168.625
165.8,267.24,168.746
165.9,267.24,168.883
166,267.24,169.021
166.1,267.24,169.138
166.2,267.24,169.275
166.3,267.24,169.404
166.4,267.24,169.523
166.5,267.24,169.642
166.6,267.24,169.783
166.7,267.24,169.905
166.8,267.24,170.047
166.9,267.24,170.162
167,267.24,170.282
167.1,267.24,170.421
167.2,267.24,170.546
167.3,267.24,170.681
167.4,267.24,170.801
167.5,267.24,170.941
167.6,267.24,171.081
167.7,267.24,171.215
167.8,267.24,171.356
167.9,267.24,171.479
168,267.24,171.603
168.1,267.24,171.729
168.2,267.24,171.863
168.3,267.24,171.988
168.4,267.24,172.103
168.5,267.24,172.245
168.6,267.24,172.376
168.7,267.24,172.497
168.8,267.24,172.625
168.9,267.24,172.751
169,267.24,172.87
169.1,267.24,173.007
169.2,267.24,173.136
169.3,267.24,173.252
169.4,267.24,173.394
169.5,267.24,173.534
169.6,267.24,173.66
169.7,267.24,173.802
169.8,267.24,173.927
169.9,267.24,174.066
170,267.24,174.191
170.1,267.24,174.313
170.2,267.24,174.428
170.3,267.24,174.561
170.4,267.24,174.686
170.5,267.24,174.816
170.6,267.24,174.958
170.7,267.24,175.074
170.8,267.24,175.213
170.9,267.24,175.356
171,267.24,175.489
171.1,267.24,175.611
171.2,267.24,175.745
171.3,267.24,175.869
171.4,267.24,176.005
171.5,267.24,176.126
171.6,267.24,176.252
171.7,267.24,176.38
171.8,267.24,176.511
171.9,267.24,176.651
172,267.24,176.777
172.1,267.24,176.903
172.2,267.24,177.044
172.3,267.24,177.166
172.4,267.24,177.287
172.5,267.24,177.429
172.6,267.24,177.556
172.7,267.24,177.671
172.8,267.24,177.786
172.9,267.24,177.923
173,267.24,178.045
173.1,267.24,178.16
173.2,267.24,178.29
173.3,267.24,178.428
173.4,267.24,178.546
173.5,267.24,178.673
173.6,267.24,178.791
173.7,267.24,178.928
173.8,267.24,179.061
173.9,267.24,179.185
174,267.24,179.31
174.1,267.24,179.431
174.2,267.24,179.564
174.3,267.24,179.682
174.4,267.24,179.818
174.5,267.24,179.954
174.6,267.24,180.081
174.7,267.24,180.201
174.8,267.24,180.318
174.9,267.24,180.451
175,267.24,180.584
175.1,267.24,180.705
175.2,267.24,180.828
175.3,267.24,180.953
175.4,267.24,181.074
175.5,267.24,181.205
175.6,267.24,181.326
175.7,267.24,181.44
175.8,267.24,181.571
175.9,267.24,181.686
176,267.24,181.827
176.1,267.24,181.946
176.2,267.24,182.067
176.3,267.24,182.196
176.4,267.24,182.327
176.5,267.55,182.465
176.6,267.55,182.592
176.7,267.536,182.71
176.8,267.517,182.848
176.9,267.5,182.973
177,267.476,183.09
177.1,267.351,183.09
177.2,267.228,182.76
177.3,267.104,182.76
177.4,266.979,182.76
177.5,266.846,182.76
177.6,266.71,182.76
177.7,266.582,182.76
177.8,266.455,182.76
177.9,266.332,182.76
178,266.209,182.76
178.1,266.068,182.76
178.2,265.93,182.76
178.3,265.802,182.76
178.4,265.684,182.76
178.5,265.555,182.76
178.6,265.433,182.76
178.7,265.301,182.76
178.8,265.167,182.76
178.9,265.051,182.76
179,264.919,182.76
179.1,264.8,182.76
179.2,264.671,182.76
179.3,264.546,182.76
179.4,264.418,182.76
179.5,264.29,182.76
179.6,264.174,182.76
179.7,264.059,182.76
179.8,263.931,182.76
179.9,263.816,182.76
180,263.684,182.76
180.1,263.556,182.76
180.2,263.426,182.76
180.3,263.303,182.76
180.4,263.17,182.76
180.5,263.046,182.76
180.6,262.916,182.76
180.7,262.78,182.76
180.8,262.652,182.76
180.9,262.521,182.76
181,262.389,182.76
181.1,262.257,182.76
181.2,262.132,182.76
181.3,262.014,182.76
181.4,261.884,182.76
181.5,261.768,182.76
181.6,261.65,182.76
181.7,261.516,182.76
181.8,261.374,182.76
181.9,261.243,182.76
182,261.11,182.76
182.1,260.978,182.76
182.2,260.839,182.76
182.3,260.706,182.76
182.4,260.567,182.76
182.5,260.439,182.76
182.6,260.304,182.76
182.7,260.174,182.76
182.8,260.039,182.76
182.9,259.92,182.76
183,259.799,182.76
183.1,259.679,182.76
183.2,259.557,182.76
183.3,259.436,182.76
183.4,259.301,182.76
183.5,259.159,182.76
183.6,259.04,182.76
183.7,258.918,182.76
183.8,258.781,182.76
183.9,258.663,182.76
184,258.542,182.76
184.1,258.42,182.76
184.2,258.289,182.76
184.3,258.16,182.76
184.4,258.043,182.76
184.5,257.9,182.76
184.6,257.767,182.76
184.7,257.631,182.76
184.8,257.5,182.76
184.9,257.367,182.76
185,257.241,182.76
185.1,257.104,182.76
185.2,256.976,182.76
185.3,256.856,182.76
185.4,256.725,182.76
185.5,256.596,182.76
185.6,256.478,182.76
185.7,256.358,182.76
185.8,256.223,182.76
185.9,256.091,182.76
186,255.951,182.76
186.1,255.81,182.76
186.2,255.682,182.76
186.3,255.553,182.76
186.4,255.429,182.76
186.5,255.305,182.76
186.6,255.173,182.76
186.7,255.045,182.76
186.8,254.929,182.76
186.9,254.788,182.76
187,254.655,182.45
187.1,254.535,182.45
187.2,254.407,182.45
187.3,254.267,182.45
187.4,254.143,182.45
187.5,254.007,182.45
187.6,253.872,182.45
187.7,253.752,182.45
187.8,253.635,182.45
187.9,253.514,182.45
188,253.395,182.451
188.1,253.27,182.451
188.2,253.146,182.452
188.3,253.025,182.452
188.4,252.896,182.453
188.5,252.765,182.453
188.6,252.633,182.454
188.7,252.49,182.454
188.8,252.358,182.455
188.9,252.23,182.455
189,252.107,182.456
189.1,251.975,182.456
189.2,251.844,182.456
189.3,251.706,182.457
189.4,251.565,182.458
189.5,251.442,182.458
189.6,251.308,182.459
189.7,251.171,182.459
189.8,251.05,182.459
189.9,250.918,182.459
190,250.779,182.459
190.1,250.655,182.459
190.2,250.537,182.46
190.3,250.395,182.46
190.4,250.27,182.46
190.5,250.147,182.46
190.6,250.038,182.77
190.7,249.914,182.77
190.8,249.785,182.77
190.9,249.681,182.77
191,249.562,182.771
191.1,249.446,182.771
191.2,249.33,182.771
191.3,249.215,182.771
191.4,249.11,182.771
191.5,249.001,182.771
191.6,248.897,182.771
191.7,248.777,182.772
191.8,248.651,182.772
191.9,248.533,182.772
192,248.424,182.772
192.1,248.316,182.772
192.2,248.19,182.772
192.3,248.079,182.772
192.4,247.97,182.772
192.5,247.856,182.773
192.6,247.751,182.773
192.7,247.637,182.773
192.8,247.513,182.773
192.9,247.404,182.773
193,247.28,182.773
193.1,247.161,182.773
193.2,247.052,182.773
193.3,246.928,182.774
193.4,246.816,182.774
193.5,246.69,182.774
193.6,246.584,182.774
193.7,246.463,182.774
193.8,246.345,182.774
193.9,246.227,182.774
194,246.101,182.775
194.1,245.985,182.775
194.2,245.863,182.775
194.3,245.753,182.775
194.4,245.629,182.775
194.5,245.522,182.775
194.6,245.401,182.775
194.7,245.273,182.776
194.8,245.168,182.776
194.9,245.055,182.776
195,244.939,182.776
195.1,244.834,182.776
195.2,244.729,182.776
195.3,244.604,182.776
195.4,244.486,182.776
195.5,244.361,182.777
195.6,244.241,182.777
195.7,244.116,182.777
195.8,244.007,182.777
195.9,243.887,182.777
196,243.783,182.777
196.1,243.664,182.777
196.2,243.539,182.777
196.3,243.416,182.778
196.4,243.293,182.778
196.5,243.167,182.778
196.6,243.049,182.778
196.7,242.934,182.778
196.8,242.813,182.778
196.9,242.689,182.778
197,242.564,182.779
197.1,242.461,182.779
197.2,242.332,182.779
197.3,242.215,182.779
197.4,242.094,182.779
197.5,241.987,182.779
197.6,241.869,182.779
197.7,241.742,182.78
197.8,241.614,182.78
197.9,241.495,182.78
198,241.377,182.78
198.1,241.315,182.775
198.2,241.206,182.758
198.3,241.094,182.74
198.4,240.988,182.723
198.5,240.874,182.705
198.6,240.77,182.689
198.7,240.644,182.669
198.8,240.535,182.652
198.9,240.427,182.635
199,240.321,182.618
199.1,240.206,182.6
199.2,240.103,182.584
199.3,239.981,182.564
199.4,239.87,182.547
199.5,239.757,182.529
199.6,239.649,182.512
199.7,239.523,182.492
