timestamp,id,sensor,x,y
9,car0,5,266.974,177.434,1
9.05,car0,5,266.988,177.5,1
9.1,car0,5,266.997,177.542,1
9.15,car0,5,267.008,177.591,1
9.2,car0,5,267.017,177.635,1
9.25,car0,5,267.029,177.69,1
9.3,car0,5,267.041,177.747,1
9.35,car0,5,267.053,177.805,1
9.4,car0,5,267.066,177.863,1
9.45,car0,5,267.077,177.916,1
9.5,car0,5,267.087,177.962,1
9.55,car0,5,267.098,178.016,1
9.6,car0,5,267.11,178.072,1
9.65,car0,5,267.121,178.123,1
9.7,car0,5,267.132,178.178,1
9.75,car0,5,267.145,178.239,1
9.8,car0,5,267.158,178.301,1
9.85,car0,5,267.17,178.353,1
9.9,car0,5,267.183,178.418,1
9.95,car0,5,267.195,178.474,1
10,car0,5,267.209,178.536,1
10.05,car0,5,267.221,178.596,1
10.1,car0,5,267.235,178.662,1
10.15,car0,5,267.249,178.726,1
10.2,car0,5,267.262,178.787,1
10.25,car0,5,267.273,178.842,1
10.3,car0,5,267.285,178.898,1
10.35,car0,5,267.298,178.955,1
10.4,car0,5,267.31,179.014,1
10.45,car0,5,267.322,179.068,1
10.5,car0,5,267.333,179.121,1
10.55,car0,5,267.343,179.171,1
10.6,car0,5,267.354,179.22,1
10.65,car0,5,267.364,179.27,1
10.7,car0,5,267.375,179.321,1
10.75,car0,5,267.385,179.369,1
10.8,car0,5,267.396,179.417,1
10.85,car0,5,267.408,179.473,1
10.9,car0,5,267.42,179.53,1
10.95,car0,5,267.432,179.587,1
11,car0,5,267.443,179.638,1
11.05,car0,5,267.453,179.688,1
11.1,car0,5,267.467,179.75,1
11.15,car0,0,267.743,168.628,1
11.15,car0,5,267.478,179.805,1
11.2,car0,0,267.73,168.692,2
11.2,car0,5,267.492,179.869,2
11.25,car0,0,267.716,168.755,2
11.25,car0,5,267.503,179.92,2
11.3,car0,0,267.703,168.816,2
11.3,car0,5,267.515,179.98,2
11.35,car0,0,267.692,168.869,2
11.35,car0,5,267.529,180.044,2
11.4,car0,0,267.679,168.928,2
11.4,car0,5,267.541,180.102,2
11.45,car0,0,267.666,168.994,2
11.45,car0,5,267.554,180.161,2
11.5,car0,0,267.653,169.053,2
11.5,car0,5,267.566,180.219,2
11.55,car0,0,267.639,169.119,2
11.55,car0,5,267.579,180.278,2
11.6,car0,0,267.627,169.177,2
11.6,car0,5,267.592,180.342,2
11.65,car0,0,267.613,169.243,2
11.65,car0,5,267.606,180.407,2
11.7,car0,0,267.598,169.31,2
11.7,car0,5,267.62,180.473,2
11.75,car0,0,267.582,169.389,2
11.75,car0,5,267.633,180.534,2
11.8,car0,0,267.568,169.452,2
11.8,car0,5,267.645,180.591,2
11.85,car0,0,267.552,169.526,2
11.85,car0,5,267.659,180.654,2
11.9,car0,0,267.539,169.588,2
11.9,car0,5,267.672,180.715,2
11.95,car0,0,267.525,169.656,2
11.95,car0,5,267.687,180.789,2
12,car0,0,267.512,169.717,2
12,car0,5,267.7,180.848,2
12.05,car0,0,267.499,169.778,2
12.05,car0,5,267.711,180.901,2
12.1,car0,0,267.485,169.843,2
12.1,car0,5,267.724,180.963,2
12.15,car0,0,267.471,169.909,2
12.15,car0,5,267.737,181.021,2
12.2,car0,0,267.457,169.974,2
12.25,car0,0,267.444,170.036,2
12.3,car0,0,267.43,170.104,2
12.35,car0,0,267.416,170.168,2
12.4,car0,0,267.401,170.236,2
12.45,car0,0,267.389,170.293,2
12.5,car0,0,267.376,170.354,2
12.55,car0,0,267.364,170.41,2
12.6,car0,0,267.352,170.467,2
12.65,car0,0,267.338,170.533,2
12.7,car0,0,267.327,170.587,2
12.75,car0,0,267.314,170.648,2
12.8,car0,0,267.303,170.7,2
12.85,car0,0,267.29,170.761,2
12.9,car0,0,267.279,170.81,2
12.95,car0,0,267.269,170.859,2
13,car0,0,267.259,170.906,2
13.05,car0,0,267.246,170.966,2
13.1,car0,0,267.235,171.021,2
13.15,car0,0,267.221,171.087,2
13.2,car0,0,267.208,171.145,2
13.25,car0,0,267.195,171.209,2
13.3,car0,0,267.181,171.273,2
13.35,car0,0,267.167,171.338,2
13.4,car0,0,267.155,171.398,2
13.45,car0,0,267.141,171.463,2
13.5,car0,0,267.127,171.527,2
13.55,car0,0,267.113,171.594,2
13.6,car0,0,267.099,171.66,2
13.65,car0,0,267.085,171.727,2
13.7,car0,0,267.068,171.804,2
13.75,car0,0,267.053,171.877,2
13.8,car0,0,267.037,171.95,2
13.85,car0,0,267.023,172.018,2
13.9,car0,0,267.011,172.074,2
13.95,car0,0,266.999,172.132,2
14,car0,0,266.988,172.182,2
14.05,car0,0,266.977,172.234,2
14.1,car0,0,266.966,172.283,2
14.15,car0,0,266.96,172.313,2
14.2,car0,0,266.946,172.381,2
14.25,car0,0,266.931,172.449,2
14.3,car0,0,266.917,172.516,2
14.35,car0,0,266.905,172.572,2
14.4,car0,0,266.892,172.633,2
14.45,car0,0,266.876,172.707,2
14.5,car0,0,266.864,172.763,2
14.55,car0,0,266.852,172.821,2
14.6,car0,0,266.84,172.877,2
14.65,car0,0,266.828,172.935,2
14.7,car0,0,266.815,172.996,2
14.75,car0,0,266.803,173.051,2
14.8,car0,0,266.791,173.11,2
14.85,car0,0,266.779,173.166,2
14.9,car0,0,266.768,173.215,2
14.95,car0,0,266.756,173.273,2
15,car0,0,266.746,173.319,2
15.05,car0,0,266.737,173.361,2
15.1,car0,1,267.362,173.677,2
15.15,car0,1,267.283,173.746,2
15.2,car0,1,267.232,173.79,2
15.25,car0,1,267.192,173.826,2
15.3,car0,1,267.094,173.911,2
15.35,car0,1,267.042,173.956,2
15.4,car0,1,266.999,173.993,2
15.45,car0,1,266.961,174.026,2
15.5,car0,1,266.929,174.054,2
15.55,car0,1,266.898,174.081,2
