timestamp,x_gt,y_gt,sensor_id,track_id,x_track,y_track,car_id
71.3,266.84,168.665,0,208.0,267.69,168.624,car0
71.35,266.84,168.723,0,208.0,267.766,168.73,car0
71.4,266.84,168.783,0,208.0,267.745,168.781,car0
71.45,266.84,168.84,0,208.0,267.727,168.831,car0
71.5,266.84,168.899,0,208.0,267.711,168.882,car0
71.55,266.84,168.953,0,208.0,267.697,168.932,car0
71.6,266.84,169.009,0,208.0,267.683,168.986,car0
71.65,266.84,169.07,0,208.0,267.669,169.043,car0
71.7,266.84,169.129,0,208.0,267.655,169.101,car0
71.75,266.84,169.19,0,208.0,267.641,169.159,car0
71.8,266.84,169.252,0,208.0,267.628,169.219,car0
71.85,266.84,169.305,0,208.0,267.615,169.276,car0
71.9,266.84,169.363,0,208.0,267.601,169.336,car0
71.95,266.84,169.418,0,208.0,267.588,169.397,car0
72.0,266.84,169.473,0,208.0,267.574,169.457,car0
72.05,266.84,169.531,0,208.0,267.561,169.518,car0
72.1,266.84,169.589,0,208.0,267.548,169.578,car0
72.15,266.84,169.641,0,208.0,267.535,169.638,car0
72.2,266.84,169.7,0,208.0,267.522,169.698,car0
72.25,266.84,169.755,0,208.0,267.509,169.757,car0
72.3,266.84,169.818,0,208.0,267.496,169.817,car0
72.35,266.84,169.878,0,208.0,267.483,169.877,car0
72.4,266.84,169.932,0,208.0,267.47,169.937,car0
72.45,266.84,169.987,0,208.0,267.457,169.997,car0
72.5,266.84,170.052,0,208.0,267.444,170.057,car0
72.55,266.84,170.104,0,208.0,267.431,170.116,car0
72.6,266.84,170.156,0,208.0,267.419,170.175,car0
72.65,266.84,170.217,0,208.0,267.406,170.234,car0
72.7,266.84,170.282,0,208.0,267.393,170.294,car0
72.75,266.84,170.34,0,208.0,267.38,170.353,car0
72.8,266.84,170.396,0,208.0,267.368,170.412,car0
72.85,266.84,170.451,0,208.0,267.355,170.471,car0
72.9,266.84,170.507,0,208.0,267.343,170.528,car0
72.95,266.84,170.56,0,208.0,267.33,170.585,car0
73.0,266.84,170.613,0,208.0,267.318,170.641,car0
73.05,266.84,170.677,0,208.0,267.306,170.697,car0
73.1,266.84,170.732,0,208.0,267.295,170.753,car0
73.15,266.84,170.797,0,208.0,267.283,170.808,car0
73.2,266.84,170.851,0,208.0,267.271,170.863,car0
73.25,266.84,170.916,0,208.0,267.26,170.915,car0
73.3,266.84,170.971,0,208.0,267.249,170.967,car0
73.35,266.84,171.028,0,208.0,267.238,171.019,car0
73.4,266.84,171.086,0,208.0,267.227,171.071,car0
73.45,266.84,171.139,0,208.0,267.215,171.123,car0
73.5,266.84,171.193,0,208.0,267.204,171.175,car0
73.55,266.84,171.257,0,208.0,267.193,171.228,car0
73.6,266.84,171.313,0,208.0,267.182,171.281,car0
73.65,266.84,171.378,0,208.0,267.17,171.335,car0
73.7,266.84,171.434,0,208.0,267.159,171.389,car0
73.75,266.84,171.499,0,208.0,267.147,171.444,car0
73.8,266.84,171.554,0,208.0,267.135,171.498,car0
73.85,266.84,171.615,0,208.0,267.124,171.552,car0
73.9,266.84,171.669,0,208.0,267.112,171.607,car0
73.95,266.84,171.732,0,208.0,267.1,171.663,car0
74.0,266.84,171.786,0,208.0,267.088,171.719,car0
74.05,266.84,171.839,0,208.0,267.076,171.776,car0
74.1,266.84,171.894,0,208.0,267.064,171.833,car0
74.15,266.84,171.956,0,208.0,267.052,171.89,car0
74.2,266.84,172.02,0,208.0,267.039,171.949,car0
74.25,266.84,172.073,0,208.0,267.027,172.007,car0
74.3,266.84,172.133,0,208.0,267.014,172.065,car0
74.35,266.84,172.191,0,208.0,267.002,172.123,car0
74.4,266.84,172.254,0,208.0,266.99,172.181,car0
74.45,266.84,172.309,0,208.0,266.978,172.238,car0
74.5,266.84,172.367,0,208.0,266.966,172.294,car0
74.55,266.84,172.424,0,208.0,266.954,172.348,car0
74.6,266.84,172.478,0,208.0,266.943,172.403,car0
74.65,266.84,172.534,0,208.0,266.931,172.457,car0
74.7,266.84,172.594,0,208.0,266.919,172.512,car0
74.75,266.84,172.651,0,208.0,266.908,172.567,car0
74.8,266.84,172.715,0,208.0,266.896,172.621,car0
74.85,266.84,172.775,0,208.0,266.884,172.676,car0
74.9,266.84,172.828,0,208.0,266.873,172.731,car0
74.95,266.84,172.88,0,208.0,266.861,172.786,car0
75.0,266.84,172.938,0,208.0,266.849,172.841,car0
75.05,266.84,172.995,0,208.0,266.838,172.896,car0
75.1,266.84,173.05,0,208.0,266.826,172.95,car0
75.15,266.84,173.107,0,208.0,266.814,173.005,car0
75.2,266.84,173.17,0,208.0,266.803,173.059,car0
75.25,266.84,173.23,0,208.0,266.791,173.114,car0
75.3,266.84,173.294,0,208.0,266.779,173.169,car0
75.35,266.84,173.349,0,208.0,266.768,173.223,car0
75.4,266.84,173.401,0,208.0,266.756,173.277,car0
75.45,266.84,173.462,0,208.0,266.745,173.331,car0
75.5,266.84,173.526,0,208.0,266.733,173.385,car0
75.55,266.84,173.585,0,208.0,266.722,173.438,car0
75.6,266.84,173.641,0,208.0,266.739,173.502,car0
75.65,266.84,173.703,0,208.0,266.753,173.567,car0
75.7,266.84,173.768,0,208.0,266.764,173.63,car0
75.75,266.84,173.83,0,208.0,266.773,173.692,car0
75.8,266.84,173.89,0,208.0,266.777,173.755,car0
75.85,266.84,173.942,0,208.0,266.78,173.817,car0
