timestamp,x_gt,y_gt
49.1,267.24,153.44
49.2,267.24,153.545
49.3,267.24,153.667
49.4,267.24,153.776
49.5,267.24,153.896
49.6,267.24,154.016
49.7,267.24,154.123
49.8,267.24,154.245
49.9,267.24,154.364
50,267.24,154.473
50.1,267.24,154.582
50.2,267.24,154.686
50.3,267.24,154.802
50.4,267.24,154.917
50.5,267.24,155.019
50.6,267.24,155.143
50.7,267.24,155.267
50.8,267.24,155.381
50.9,267.24,155.495
51,267.24,155.618
51.1,267.24,155.74
51.2,267.24,155.844
51.3,267.24,155.948
51.4,267.24,156.067
51.5,267.24,156.186
51.6,267.24,156.301
51.7,267.24,156.426
51.8,267.24,156.545
51.9,267.24,156.654
52,267.24,156.774
52.1,267.24,156.88
52.2,267.24,156.989
52.3,267.24,157.092
52.4,267.24,157.194
52.5,267.24,157.315
52.6,267.24,157.435
52.7,267.24,157.558
52.8,267.24,157.665
52.9,267.24,157.768
53,267.24,157.877
53.1,267.24,157.984
53.2,267.24,158.1
53.3,267.24,158.217
53.4,267.24,158.34
53.5,267.24,158.455
53.6,267.24,158.569
53.7,267.24,158.676
53.8,267.24,158.8
53.9,267.24,158.917
54,267.24,159.032
54.1,267.24,159.145
54.2,267.24,159.264
54.3,267.24,159.378
54.4,267.24,159.486
54.5,267.24,159.6
54.6,267.24,159.72
54.7,267.24,159.828
54.8,267.24,159.947
54.9,267.24,160.059
55,267.24,160.181
55.1,267.24,160.303
55.2,267.24,160.407
55.3,267.24,160.519
55.4,267.24,160.636
55.5,267.24,160.748
55.6,267.24,160.87
55.7,267.24,160.974
55.8,267.24,161.097
55.9,267.24,161.215
56,267.24,161.335
56.1,267.24,161.451
56.2,267.24,161.576
56.3,267.24,161.702
56.4,267.24,161.826
56.5,267.24,161.949
56.6,267.24,162.064
56.7,267.24,162.178
56.8,267.24,162.293
56.9,267.24,162.414
57,267.24,162.529
57.1,267.24,162.655
57.2,267.24,162.772
57.3,267.24,162.882
57.4,267.24,162.991
57.5,267.24,163.097
57.6,267.24,163.219
57.7,267.24,163.328
57.8,267.24,163.435
57.9,267.24,163.555
58,267.24,163.666
58.1,267.24,163.786
