timestamp,x_gt,y_gt,car_id,sensor_id
133.05,person22,283.95,161.74
133.1,person22,283.95,161.687
133.15,person22,283.95,161.631
133.2,person22,283.95,161.58
133.25,person22,283.95,161.531
133.3,person22,283.95,161.479
133.35,person22,283.95,161.421
133.4,person22,283.95,161.371
133.45,person22,283.95,161.313
133.5,person22,283.95,161.258
133.55,person22,283.95,161.208
133.6,person22,283.95,161.159
133.65,person22,283.95,161.105
133.7,person22,283.95,161.05
133.75,person22,283.95,160.993
133.8,person22,283.95,160.939
133.85,person22,283.95,160.886
133.9,person22,283.95,160.83
133.95,person22,283.95,160.777
134,person22,283.95,160.729
134.05,person22,283.95,160.679
134.1,person22,283.95,160.621
134.15,person22,283.95,160.568
134.2,person22,283.95,160.517
134.25,person22,283.95,160.461
134.3,person22,283.95,160.412
134.35,person22,283.95,160.354
134.4,person22,283.95,160.296
134.45,person22,283.95,160.245
134.5,person22,283.95,160.189
134.55,person22,283.95,160.13
134.6,person22,283.95,160.072
134.65,person22,283.95,160.02
134.7,person22,283.95,159.962
134.75,person22,283.95,159.909
134.8,person22,283.95,159.856
134.85,person22,283.95,159.806
134.9,person22,283.95,159.756
134.95,person22,283.95,159.707
135,person22,283.95,159.657
135.05,person22,283.95,159.604
135.1,person22,283.95,159.553
135.15,person22,283.95,159.495
135.2,person22,283.95,159.438
135.25,person22,283.95,159.385
135.3,person22,283.95,159.327
135.35,person22,283.95,159.275
135.4,person22,283.95,159.218
135.45,person22,283.95,159.163
135.5,person22,283.95,159.114
135.55,person22,283.95,159.063
135.6,person22,283.95,159.006
135.65,person22,283.95,158.949
135.7,person22,283.95,158.891
135.75,person22,283.95,158.833
135.8,person22,283.95,158.786
135.85,person22,283.95,158.728
135.9,person22,283.95,158.678
135.95,person22,283.95,158.621
136,person22,283.95,158.566
136.05,person22,283.95,158.51
136.1,person22,283.95,158.452
136.15,person22,283.95,158.405
136.2,person22,283.95,158.353
136.25,person22,283.95,158.297
136.3,person22,283.95,158.242
136.35,person22,283.95,158.193
136.4,person22,283.95,158.145
136.45,person22,283.95,158.096
136.5,person22,283.95,158.044
136.55,person22,283.95,157.986
136.6,person22,283.95,157.934
136.65,person22,283.95,157.879
136.7,person22,283.95,157.826
136.75,person22,283.95,157.768
136.8,person22,283.95,157.717
136.85,person22,283.95,157.661
