timestamp,x,y,car,sensor_id
61.35,266.84,168.631,car0,0
61.4,266.84,168.688,car0,0
61.45,266.84,168.747,car0,0
61.5,266.84,168.806,car0,0
61.55,266.84,168.861,car0,0
61.6,266.84,168.912,car0,0
61.65,266.84,168.968,car0,0
61.7,266.84,169.028,car0,0
61.75,266.84,169.083,car0,0
61.8,266.84,169.133,car0,0
61.85,266.84,169.191,car0,0
61.9,266.84,169.243,car0,0
61.95,266.84,169.303,car0,0
62.0,266.84,169.355,car0,0
62.05,266.84,169.415,car0,0
62.1,266.84,169.473,car0,0
62.15,266.84,169.522,car0,0
62.2,266.84,169.574,car0,0
62.25,266.84,169.627,car0,0
62.3,266.84,169.684,car0,0
62.35,266.84,169.742,car0,0
62.4,266.84,169.796,car0,0
62.45,266.84,169.856,car0,0
62.5,266.84,169.907,car0,0
62.55,266.84,169.965,car0,0
62.6,266.84,170.024,car0,0
62.65,266.84,170.08,car0,0
62.7,266.84,170.133,car0,0
62.75,266.84,170.19,car0,0
62.8,266.84,170.241,car0,0
62.85,266.84,170.292,car0,0
62.9,266.84,170.343,car0,0
62.95,266.84,170.399,car0,0
63.0,266.84,170.449,car0,0
63.05,266.84,170.51,car0,0
63.1,266.84,170.562,car0,0
63.15,266.84,170.612,car0,0
63.2,266.84,170.662,car0,0
63.25,266.84,170.724,car0,0
63.3,266.84,170.784,car0,0
63.35,266.84,170.837,car0,0
63.4,266.84,170.893,car0,0
63.45,266.84,170.951,car0,0
63.5,266.84,171.005,car0,0
63.55,266.84,171.063,car0,0
63.6,266.84,171.115,car0,0
63.65,266.84,171.173,car0,0
63.7,266.84,171.233,car0,0
63.75,266.84,171.288,car0,0
63.8,266.84,171.341,car0,0
63.85,266.84,171.393,car0,0
63.9,266.84,171.443,car0,0
63.95,266.84,171.501,car0,0
64.0,266.84,171.563,car0,0
64.05,266.84,171.614,car0,0
64.1,266.84,171.668,car0,0
64.15,266.84,171.727,car0,0
64.2,266.84,171.786,car0,0
64.25,266.84,171.847,car0,0
64.3,266.84,171.906,car0,0
64.35,266.84,171.964,car0,0
64.4,266.84,172.018,car0,0
64.45,266.84,172.075,car0,0
64.5,266.84,172.137,car0,0
64.55,266.84,172.189,car0,0
64.6,266.84,172.25,car0,0
64.65,266.84,172.299,car0,0
64.7,266.84,172.355,car0,0
64.75,266.84,172.416,car0,0
64.8,266.84,172.468,car0,0
64.85,266.84,172.528,car0,0
64.9,266.84,172.583,car0,0
64.95,266.84,172.642,car0,0
65.0,266.84,172.694,car0,0
65.05,266.84,172.747,car0,0
65.1,266.84,172.807,car0,0
65.15,266.84,172.863,car0,0
65.2,266.84,172.924,car0,0
65.25,266.84,172.981,car0,0
65.3,266.84,173.033,car0,0
65.35,266.84,173.094,car0,0
65.4,266.84,173.154,car0,0
65.45,266.84,173.206,car0,0
65.5,266.84,173.26,car0,0
65.55,266.84,173.309,car0,0
65.6,266.84,173.36,car0,0
65.65,266.84,173.413,car0,0
65.7,266.84,173.47,car0,0
65.75,266.84,173.531,car0,0
65.8,266.84,173.581,car0,0
65.85,266.84,173.634,car0,0
65.9,266.84,173.684,car0,0
65.95,266.84,173.743,car0,0
66.0,266.84,173.801,car0,0
66.05,266.84,173.861,car0,0
66.1,266.84,173.918,car0,0
66.15,266.84,173.977,car0,0
66.2,266.84,174.036,car0,1
66.25,266.84,174.094,car0,1
66.3,266.84,174.151,car0,1
66.35,266.84,174.204,car0,1
66.4,266.84,174.265,car0,1
66.45,266.84,174.326,car0,1
66.5,266.84,174.378,car0,1
66.55,266.84,174.437,car0,1
66.6,266.84,174.492,car0,1
66.65,266.84,174.542,car0,1
66.7,266.84,174.596,car0,2
66.75,266.84,174.653,car0,2
66.8,266.84,174.703,car0,2
66.85,266.84,174.757,car0,2
66.9,266.84,174.814,car0,2
66.95,266.84,174.872,car0,2
67.0,266.84,174.929,car0,2
67.05,266.84,174.98,car0,3
67.1,266.84,175.038,car0,3
67.15,266.84,175.09,car0,3
67.2,266.84,175.149,car0,3
67.25,266.84,175.206,car0,3
67.3,266.84,175.265,car0,3
67.35,266.84,175.316,car0,3
67.4,266.84,175.368,car0,3
67.45,266.84,175.421,car0,3
67.5,266.84,175.48,car0,4
67.55,266.84,175.541,car0,4
67.6,266.84,175.601,car0,4
67.65,266.84,175.652,car0,4
67.7,266.84,175.706,car0,4
67.75,266.84,175.763,car0,4
67.8,266.84,175.812,car0,4
67.85,266.84,175.865,car0,4
67.9,266.84,175.921,car0,4
67.95,266.84,175.975,car0,4
68.0,266.84,176.028,car0,4
68.05,266.84,176.085,car0,4
68.1,266.84,176.139,car0,4
68.15,266.84,176.189,car0,5
68.2,266.84,176.24,car0,5
68.25,266.84,176.291,car0,5
68.3,266.84,176.346,car0,5
68.35,266.84,176.399,car0,5
68.4,266.84,176.456,car0,5
68.45,266.84,176.508,car0,5
68.5,266.84,176.568,car0,5
68.55,266.84,176.619,car0,5
68.6,266.84,176.681,car0,5
68.65,266.84,176.735,car0,5
68.7,266.84,176.786,car0,5
68.75,266.84,176.842,car0,5
68.8,266.84,176.891,car0,5
68.85,266.84,176.946,car0,5
68.9,266.84,177.0,car0,5
68.95,266.84,177.06,car0,5
69.0,266.84,177.118,car0,5
69.05,266.84,177.179,car0,5
69.1,266.84,177.232,car0,5
69.15,266.84,177.281,car0,5
69.2,266.84,177.334,car0,5
69.25,266.84,177.389,car0,5
69.3,266.84,177.443,car0,5
69.35,266.84,177.501,car0,5
69.4,266.84,177.56,car0,5
69.45,266.84,177.613,car0,5
69.5,266.84,177.666,car0,5
69.55,266.84,177.727,car0,5
69.6,266.84,177.777,car0,5
69.65,266.84,177.832,car0,5
69.7,266.84,177.893,car0,5
69.75,266.84,177.944,car0,5
69.8,266.84,178.005,car0,5
69.85,266.84,178.067,car0,5
69.9,266.84,178.122,car0,5
69.95,266.84,178.174,car0,5
70.0,266.84,178.226,car0,5
70.05,266.84,178.281,car0,5
70.1,266.84,178.332,car0,5
70.15,266.84,178.389,car0,5
70.2,266.84,178.444,car0,5
70.25,266.84,178.504,car0,5
70.3,266.84,178.561,car0,5
70.35,266.84,178.615,car0,5
70.4,266.84,178.671,car0,5
70.45,266.84,178.728,car0,5
70.5,266.84,178.788,car0,5
70.55,266.84,178.842,car0,5
70.6,266.84,178.893,car0,5
70.65,266.84,178.943,car0,5
70.7,266.84,178.994,car0,5
70.75,266.84,179.054,car0,5
70.8,266.84,179.106,car0,5
70.85,266.84,179.163,car0,5
70.9,266.84,179.224,car0,5
70.95,266.84,179.283,car0,5
71.0,266.84,179.341,car0,5
71.05,266.84,179.398,car0,5
71.1,266.84,179.448,car0,5
71.15,266.84,179.499,car0,5
71.2,266.84,179.553,car0,5
71.25,266.84,179.611,car0,5
71.3,266.84,179.664,car0,5
71.35,266.84,179.724,car0,5
71.4,266.84,179.774,car0,5
71.45,266.84,179.832,car0,5
71.5,266.84,179.882,car0,5
71.55,266.84,179.939,car0,5
71.6,266.84,179.998,car0,5
71.65,266.84,180.053,car0,5
71.7,266.84,180.108,car0,5
71.75,266.84,180.168,car0,5
71.8,266.84,180.22,car0,5
71.85,266.84,180.271,car0,5
71.9,266.84,180.324,car0,5
71.95,266.84,180.382,car0,5
72.0,266.84,180.438,car0,5
72.05,266.84,180.488,car0,5
72.1,266.84,180.548,car0,5
72.15,266.84,180.608,car0,5
72.2,266.84,180.664,car0,5
72.25,266.84,180.715,car0,5
72.3,266.84,180.765,car0,5
72.35,266.84,180.822,car0,5
72.4,266.84,180.874,car0,5
72.45,266.84,180.925,car0,5
72.5,266.84,180.976,car0,5
72.55,266.84,181.034,car0,5
72.6,266.84,181.088,car0,5
72.65,266.84,181.143,car0,5
72.7,266.84,181.193,car0,5
72.75,266.84,181.246,car0,5
72.8,266.84,181.298,car0,5
72.85,266.84,181.347,car0,5
72.9,266.84,181.4,car0,5
72.95,266.84,181.453,car0,5
73.0,266.84,181.505,car0,5
73.05,266.84,181.564,car0,5
