timestamp,x,y,car,sensor
1.3,266.84,168.69,car0,0
1.35,266.84,168.746,car0,0
1.4,266.84,168.802,car0,0
1.45,266.84,168.854,car0,0
1.5,266.84,168.913,car0,0
1.55,266.84,168.976,car0,0
1.6,266.84,169.039,car0,0
1.65,266.84,169.102,car0,0
1.7,266.84,169.163,car0,0
1.75,266.84,169.216,car0,0
1.8,266.84,169.279,car0,0
1.85,266.84,169.34,car0,0
1.9,266.84,169.404,car0,0
1.95,266.84,169.467,car0,0
2.0,266.84,169.531,car0,0
2.05,266.84,169.587,car0,0
2.1,266.84,169.648,car0,0
2.15,266.84,169.704,car0,0
2.2,266.84,169.762,car0,0
2.25,266.84,169.82,car0,0
2.3,266.84,169.878,car0,0
2.35,266.84,169.938,car0,0
2.4,266.84,170.003,car0,0
2.45,266.84,170.066,car0,0
2.5,266.84,170.123,car0,0
2.55,266.84,170.182,car0,0
2.6,266.84,170.238,car0,0
2.65,266.84,170.292,car0,0
2.7,266.84,170.344,car0,0
2.75,266.84,170.404,car0,0
2.8,266.84,170.46,car0,0
2.85,266.84,170.519,car0,0
2.9,266.84,170.574,car0,0
2.95,266.84,170.63,car0,0
3.0,266.84,170.686,car0,0
3.05,266.84,170.739,car0,0
3.1,266.84,170.798,car0,0
3.15,266.84,170.858,car0,0
3.2,266.84,170.91,car0,0
3.25,266.84,170.974,car0,0
3.3,266.84,171.034,car0,0
3.35,266.84,171.094,car0,0
3.4,266.84,171.155,car0,0
3.45,266.84,171.211,car0,0
3.5,266.84,171.269,car0,0
3.55,266.84,171.323,car0,0
3.6,266.84,171.377,car0,0
3.65,266.84,171.435,car0,0
3.7,266.84,171.488,car0,0
3.75,266.84,171.547,car0,0
3.8,266.84,171.61,car0,0
3.85,266.84,171.664,car0,0
3.9,266.84,171.725,car0,0
3.95,266.84,171.781,car0,0
4.0,266.84,171.846,car0,0
4.05,266.84,171.9,car0,0
4.1,266.84,171.963,car0,0
4.15,266.84,172.018,car0,0
4.2,266.84,172.07,car0,0
4.25,266.84,172.123,car0,0
4.3,266.84,172.182,car0,0
4.35,266.84,172.243,car0,0
4.4,266.84,172.306,car0,0
4.45,266.84,172.367,car0,0
4.5,266.84,172.426,car0,0
4.55,266.84,172.481,car0,0
4.6,266.84,172.538,car0,0
4.65,266.84,172.593,car0,0
4.7,266.84,172.657,car0,0
4.75,266.84,172.719,car0,0
4.8,266.84,172.772,car0,0
4.85,266.84,172.834,car0,0
4.9,266.84,172.893,car0,0
4.95,266.84,172.955,car0,0
5.0,266.84,173.017,car0,0
5.05,266.84,173.075,car0,0
5.1,266.84,173.135,car0,0
5.15,266.84,173.19,car0,0
5.2,266.84,173.249,car0,0
5.25,266.84,173.309,car0,0
5.3,266.84,173.372,car0,0
5.35,266.84,173.43,car0,0
5.4,266.84,173.488,car0,0
5.45,266.84,173.541,car0,0
5.5,266.84,173.603,car0,0
5.55,266.84,173.657,car0,0
5.6,266.84,173.722,car0,0
5.65,266.84,173.787,car0,0
5.7,266.84,173.847,car0,0
5.75,266.84,173.905,car0,0
5.8,266.84,173.961,car0,0
5.85,266.84,174.022,car0,1
5.9,266.84,174.084,car0,1
5.95,266.84,174.136,car0,1
6.0,266.84,174.19,car0,1
6.05,266.84,174.243,car0,1
6.1,266.84,174.308,car0,1
6.15,266.84,174.37,car0,1
6.2,266.84,174.423,car0,1
6.25,266.84,174.483,car0,1
6.3,266.84,174.539,car0,1
6.35,266.84,174.592,car0,2
6.4,266.84,174.652,car0,2
6.45,266.84,174.716,car0,2
6.5,266.84,174.768,car0,2
6.55,266.84,174.833,car0,2
6.6,266.84,174.889,car0,2
6.65,266.84,174.944,car0,2
6.7,266.84,175.0,car0,3
6.75,266.84,175.062,car0,3
6.8,266.84,175.126,car0,3
6.85,266.84,175.179,car0,3
6.9,266.84,175.238,car0,3
6.95,266.84,175.292,car0,3
7.0,266.84,175.354,car0,3
7.05,266.84,175.408,car0,3
7.1,266.84,175.465,car0,4
7.15,266.84,175.52,car0,4
7.2,266.84,175.578,car0,4
7.25,266.84,175.633,car0,4
7.3,266.84,175.685,car0,4
7.35,266.84,175.74,car0,4
7.4,266.84,175.795,car0,4
7.45,266.84,175.853,car0,4
7.5,266.84,175.911,car0,4
7.55,266.84,175.975,car0,4
7.6,266.84,176.032,car0,4
7.65,266.84,176.086,car0,4
7.7,266.84,176.149,car0,5
7.75,266.84,176.202,car0,5
7.8,266.84,176.255,car0,5
7.85,266.84,176.308,car0,5
7.9,266.84,176.371,car0,5
7.95,266.84,176.423,car0,5
8.0,266.84,176.48,car0,5
8.05,266.84,176.535,car0,5
8.1,266.84,176.589,car0,5
8.15,266.84,176.647,car0,5
8.2,266.84,176.706,car0,5
8.25,266.84,176.767,car0,5
8.3,266.84,176.828,car0,5
8.35,266.84,176.884,car0,5
8.4,266.84,176.937,car0,5
8.45,266.84,176.991,car0,5
8.5,266.84,177.043,car0,5
8.55,266.84,177.098,car0,5
8.6,266.84,177.151,car0,5
8.65,266.84,177.203,car0,5
8.7,266.84,177.257,car0,5
8.75,266.84,177.314,car0,5
8.8,266.84,177.377,car0,5
8.85,266.84,177.429,car0,5
8.9,266.84,177.493,car0,5
8.95,266.84,177.556,car0,5
9.0,266.84,177.616,car0,5
9.05,266.84,177.675,car0,5
9.1,266.84,177.73,car0,5
9.15,266.84,177.783,car0,5
9.2,266.84,177.842,car0,5
9.25,266.84,177.9,car0,5
9.3,266.84,177.957,car0,5
9.35,266.84,178.017,car0,5
9.4,266.84,178.076,car0,5
9.45,266.84,178.132,car0,5
9.5,266.84,178.187,car0,5
9.55,266.84,178.246,car0,5
9.6,266.84,178.307,car0,5
9.65,266.84,178.364,car0,5
9.7,266.84,178.429,car0,5
9.75,266.84,178.484,car0,5
9.8,266.84,178.539,car0,5
9.85,266.84,178.592,car0,5
9.9,266.84,178.645,car0,5
9.95,266.84,178.703,car0,5
10.0,266.84,178.755,car0,5
10.05,266.84,178.82,car0,5
10.1,266.84,178.884,car0,5
10.15,266.84,178.946,car0,5
10.2,266.84,179.002,car0,5
10.25,266.84,179.056,car0,5
10.3,266.84,179.11,car0,5
10.35,266.84,179.166,car0,5
10.4,266.84,179.226,car0,5
10.45,266.84,179.282,car0,5
10.5,266.84,179.343,car0,5
10.55,266.84,179.403,car0,5
10.6,266.84,179.467,car0,5
10.65,266.84,179.523,car0,5
10.7,266.84,179.587,car0,5
10.75,266.84,179.652,car0,5
10.8,266.84,179.715,car0,5
10.85,266.84,179.773,car0,5
10.9,266.84,179.829,car0,5
10.95,266.84,179.893,car0,5
11.0,266.84,179.956,car0,5
11.05,266.84,180.016,car0,5
11.1,266.84,180.075,car0,5
11.15,266.84,180.14,car0,5
11.2,266.84,180.202,car0,5
11.25,266.84,180.255,car0,5
11.3,266.84,180.314,car0,5
11.35,266.84,180.368,car0,5
11.4,266.84,180.428,car0,5
11.45,266.84,180.492,car0,5
11.5,266.84,180.545,car0,5
11.55,266.84,180.606,car0,5
11.6,266.84,180.661,car0,5
11.65,266.84,180.721,car0,5
11.7,266.84,180.776,car0,5
11.75,266.84,180.841,car0,5
11.8,266.84,180.897,car0,5
11.85,266.84,180.954,car0,5
11.9,266.84,181.007,car0,5
11.95,266.84,181.071,car0,5
12.0,266.84,181.124,car0,5
12.05,266.84,181.18,car0,5
12.1,266.84,181.24,car0,5
12.15,266.84,181.295,car0,5
12.2,266.84,181.356,car0,5
12.25,266.84,181.416,car0,5
12.3,266.84,181.478,car0,5
12.35,266.84,181.536,car0,5
12.4,266.84,181.589,car0,5
