timestamp,car_id,sensor_id,x_gt,y_gt,x_track,y_track
31,0,0,266.84,168.645,267.742,168.636
31,0,0,266.84,168.713,267.742,168.636
31,0,0,266.84,168.779,267.742,168.636
31,0,0,266.84,168.842,267.742,168.636
31,0,0,266.84,168.906,267.742,168.636
31,0,0,266.84,168.968,267.742,168.636
31,0,0,266.84,169.033,267.742,168.636
31,0,0,266.84,169.099,267.742,168.636
31,0,0,266.84,169.16,267.742,168.636
31,0,0,266.84,169.226,267.742,168.636
31,0,0,266.84,169.288,267.742,168.636
31,0,0,266.84,169.349,267.742,168.636
31,0,0,266.84,169.41,267.742,168.636
31,0,0,266.84,169.48,267.742,168.636
31,0,0,266.84,169.543,267.742,168.636
31,0,0,266.84,169.613,267.742,168.636
31,0,0,266.84,169.676,267.742,168.636
31,0,0,266.84,168.645,267.728,168.699
31,0,0,266.84,168.713,267.728,168.699
31,0,0,266.84,168.779,267.728,168.699
31,0,0,266.84,168.842,267.728,168.699
31,0,0,266.84,168.906,267.728,168.699
31,0,0,266.84,168.968,267.728,168.699
31,0,0,266.84,169.033,267.728,168.699
31,0,0,266.84,169.099,267.728,168.699
31,0,0,266.84,169.16,267.728,168.699
31,0,0,266.84,169.226,267.728,168.699
31,0,0,266.84,169.288,267.728,168.699
31,0,0,266.84,169.349,267.728,168.699
31,0,0,266.84,169.41,267.728,168.699
31,0,0,266.84,169.48,267.728,168.699
31,0,0,266.84,169.543,267.728,168.699
31,0,0,266.84,169.613,267.728,168.699
31,0,0,266.84,169.676,267.728,168.699
31,0,0,266.84,168.645,267.715,168.76
31,0,0,266.84,168.713,267.715,168.76
31,0,0,266.84,168.779,267.715,168.76
31,0,0,266.84,168.842,267.715,168.76
31,0,0,266.84,168.906,267.715,168.76
31,0,0,266.84,168.968,267.715,168.76
31,0,0,266.84,169.033,267.715,168.76
31,0,0,266.84,169.099,267.715,168.76
31,0,0,266.84,169.16,267.715,168.76
31,0,0,266.84,169.226,267.715,168.76
31,0,0,266.84,169.288,267.715,168.76
31,0,0,266.84,169.349,267.715,168.76
31,0,0,266.84,169.41,267.715,168.76
31,0,0,266.84,169.48,267.715,168.76
31,0,0,266.84,169.543,267.715,168.76
31,0,0,266.84,169.613,267.715,168.76
31,0,0,266.84,169.676,267.715,168.76
31,0,0,266.84,168.645,267.703,168.818
31,0,0,266.84,168.713,267.703,168.818
31,0,0,266.84,168.779,267.703,168.818
31,0,0,266.84,168.842,267.703,168.818
31,0,0,266.84,168.906,267.703,168.818
31,0,0,266.84,168.968,267.703,168.818
31,0,0,266.84,169.033,267.703,168.818
31,0,0,266.84,169.099,267.703,168.818
31,0,0,266.84,169.16,267.703,168.818
31,0,0,266.84,169.226,267.703,168.818
31,0,0,266.84,169.288,267.703,168.818
31,0,0,266.84,169.349,267.703,168.818
31,0,0,266.84,169.41,267.703,168.818
31,0,0,266.84,169.48,267.703,168.818
31,0,0,266.84,169.543,267.703,168.818
31,0,0,266.84,169.613,267.703,168.818
31,0,0,266.84,169.676,267.703,168.818
31,0,0,266.84,168.645,267.69,168.876
31,0,0,266.84,168.713,267.69,168.876
31,0,0,266.84,168.779,267.69,168.876
31,0,0,266.84,168.842,267.69,168.876
31,0,0,266.84,168.906,267.69,168.876
31,0,0,266.84,168.968,267.69,168.876
31,0,0,266.84,169.033,267.69,168.876
31,0,0,266.84,169.099,267.69,168.876
31,0,0,266.84,169.16,267.69,168.876
31,0,0,266.84,169.226,267.69,168.876
31,0,0,266.84,169.288,267.69,168.876
31,0,0,266.84,169.349,267.69,168.876
31,0,0,266.84,169.41,267.69,168.876
