timestamp,track_id,sensor_id,x_track,y_track,x_raw,y_raw
11.5,car0,0,267.74,168.605,0
11.6,car0,0,267.714,168.727,1
11.7,car0,0,267.688,168.852,1
11.8,car0,0,267.664,168.964,1
11.9,car0,0,267.64,169.075,1
12,car0,0,267.614,169.198,1
12.1,car0,0,267.587,169.328,1
12.2,car0,0,267.56,169.453,1
12.3,car0,0,267.537,169.562,1
12.4,car0,0,267.513,169.676,1
12.5,car0,0,267.489,169.787,1
12.6,car0,0,267.465,169.901,1
12.7,car0,0,267.44,170.018,1
12.8,car0,0,267.415,170.135,1
12.9,car0,0,267.391,170.246,1
13,car0,0,267.366,170.368,1
13.1,car0,0,267.342,170.477,1
13.2,car0,0,267.323,170.566,1
13.3,car0,0,267.305,170.653,1
13.4,car0,0,267.282,170.762,1
13.5,car0,0,267.254,170.892,1
13.6,car0,0,267.232,170.998,1
13.7,car0,0,267.206,171.116,1
13.8,car0,0,267.184,171.223,1
13.9,car0,0,267.16,171.336,1
14,car0,0,267.134,171.455,1
14.1,car0,0,267.108,171.58,1
14.2,car0,0,267.082,171.702,1
14.3,car0,0,267.057,171.82,1
14.4,car0,0,267.031,171.94,1
14.5,car0,0,267.008,172.048,1
14.6,car0,0,266.989,172.138,1
14.7,car0,0,266.973,172.216,1
14.8,car0,0,266.948,172.331,1
14.9,car0,0,266.925,172.44,1
15,car0,0,266.897,172.571,1
15.1,car0,0,266.875,172.677,1
15.2,car0,0,266.851,172.789,1
15.3,car0,0,266.827,172.899,1
15.4,car0,0,266.807,172.997,1
15.5,car0,0,266.786,173.092,1
15.6,car0,0,266.767,173.185,1
15.7,car0,0,266.752,173.253,1
15.8,car0,1,267.359,173.658,1
15.9,car0,1,267.265,173.74,1
16,car0,1,267.143,173.846,1
16.1,car0,1,267.051,173.926,1
16.2,car0,1,266.98,173.987,1
16.3,car0,1,266.918,174.041,1
16.4,car0,1,266.872,174.081,1
16.45,car0,1,266.881,174.073,1
16.6,car0,2,267.167,174.586,1
16.7,car0,2,266.952,174.616,1
16.8,car0,2,266.92,174.621,1
16.9,car0,2,266.92,174.621,1
17,car0,2,267.18,174.584,1
17.1,car0,3,266.924,175.06,1
17.2,car0,3,266.917,175.059,1
17.3,car0,3,266.94,175.062,1
17.4,car0,3,267.129,175.088,1
17.6,car0,4,266.864,175.592,1
17.7,car0,4,266.905,175.628,1
17.8,car0,4,266.961,175.676,1
17.9,car0,4,267.032,175.738,1
18,car0,4,267.143,175.835,1
18.1,car0,4,267.238,175.918,1
18.15,car0,4,267.294,175.965,1
18.3,car0,5,266.743,176.384,1
18.4,car0,5,266.763,176.479,1
18.5,car0,5,266.786,176.586,1
18.6,car0,5,266.807,176.687,1
18.7,car0,5,266.831,176.797,1
18.8,car0,5,266.853,176.903,1
18.9,car0,5,266.874,177.002,1
19,car0,5,266.898,177.113,1
19.1,car0,5,266.923,177.229,1
19.2,car0,5,266.945,177.332,1
19.3,car0,5,266.968,177.441,1
19.4,car0,5,266.991,177.549,1
19.5,car0,5,267.011,177.647,1
19.6,car0,5,267.031,177.739,1
19.7,car0,5,267.05,177.83,1
19.8,car0,5,267.072,177.931,1
19.9,car0,5,267.094,178.034,1
20,car0,5,267.117,178.142,1
20.1,car0,5,267.139,178.248,1
20.2,car0,5,267.163,178.361,1
20.3,car0,5,267.188,178.476,1
20.4,car0,5,267.212,178.591,1
20.5,car0,5,267.239,178.718,1
20.6,car0,5,267.264,178.835,1
20.7,car0,0,267.718,168.712,1
20.7,car0,5,267.291,178.961,1
20.8,car0,0,267.691,168.836,2
20.8,car0,5,267.316,179.08,2
20.9,car0,0,267.665,168.958,2
20.9,car0,5,267.339,179.185,2
21,car0,0,267.637,169.088,2
21,car0,5,267.36,179.288,2
21.1,car0,0,267.609,169.223,2
21.1,car0,5,267.38,179.382,2
21.2,car0,0,267.58,169.36,2
21.2,car0,5,267.403,179.486,2
21.3,car0,0,267.553,169.483,2
21.3,car0,5,267.424,179.589,2
