timestamp,x_gt,y_gt,car_id,sensor_id
7,personFlow1.0,266.84,163.394
7.05,personFlow1.0,266.84,163.451
7.1,personFlow1.0,266.84,163.505
7.15,personFlow1.0,266.84,163.558
7.2,personFlow1.0,266.84,163.616
7.25,personFlow1.0,266.84,163.681
7.3,personFlow1.0,266.84,163.733
7.35,personFlow1.0,266.84,163.787
7.4,personFlow1.0,266.84,163.845
7.45,personFlow1.0,266.84,163.899
7.5,personFlow1.0,266.84,163.962
7.55,personFlow1.0,266.84,164.022
7.6,personFlow1.0,266.84,164.077
7.65,personFlow1.0,266.84,164.136
7.7,personFlow1.0,266.84,164.197
7.75,personFlow1.0,266.84,164.262
7.8,personFlow1.0,266.84,164.318
7.85,personFlow1.0,266.84,164.371
7.9,personFlow1.0,266.84,164.436
7.95,personFlow1.0,266.84,164.495
8,personFlow1.0,266.84,164.548
8.05,personFlow1.0,266.84,164.608
8.1,personFlow1.0,266.84,164.672
8.15,personFlow1.0,266.84,164.726
8.2,personFlow1.0,266.84,164.78
8.25,personFlow1.0,266.84,164.84
8.3,personFlow1.0,266.84,164.892
8.35,personFlow1.0,266.84,164.951
8.4,personFlow1.0,266.84,165.004
8.45,personFlow1.0,266.84,165.059
8.5,personFlow1.0,266.84,165.118
8.55,personFlow1.0,266.84,165.172
8.6,personFlow1.0,266.84,165.233
8.65,personFlow1.0,266.84,165.295
8.7,personFlow1.0,266.84,165.359
8.75,personFlow1.0,266.84,165.418
8.8,personFlow1.0,266.84,165.479
8.85,personFlow1.0,266.84,165.534
8.9,personFlow1.0,266.84,165.594
8.95,personFlow1.0,266.84,165.654
9,personFlow1.0,266.84,165.709
9.05,personFlow1.0,266.84,165.772
9.1,personFlow1.0,266.84,165.829
9.15,personFlow1.0,266.84,165.893
9.2,personFlow1.0,266.84,165.948
9.25,personFlow1.0,266.84,166.011
9.3,personFlow1.0,266.84,166.075
9.35,personFlow1.0,266.84,166.137
9.4,personFlow1.0,266.84,166.199
9.45,personFlow1.0,266.84,166.262
9.5,personFlow1.0,266.84,166.315
9.55,personFlow1.0,266.84,166.376
9.6,personFlow1.0,266.84,166.438
9.65,personFlow1.0,266.84,166.492
9.7,personFlow1.0,266.84,166.551
9.75,personFlow1.0,266.84,166.614
9.8,personFlow1.0,266.84,166.676
9.85,personFlow1.0,266.84,166.729
9.9,personFlow1.0,266.84,166.791
9.95,personFlow1.0,266.84,166.844
10,personFlow1.0,266.84,166.902
10.05,personFlow1.0,266.84,166.956
10.1,personFlow1.0,266.84,167.016
10.15,personFlow1.0,266.84,167.074
10.2,personFlow1.0,266.84,167.129
10.25,personFlow1.0,266.84,167.186
10.3,personFlow1.0,266.84,167.245
10.35,personFlow1.0,266.84,167.302
10.4,personFlow1.0,266.84,167.362
10.45,personFlow1.0,266.84,167.417
10.5,personFlow1.0,266.84,167.48
10.55,personFlow1.0,266.84,167.54
10.6,personFlow1.0,266.84,167.598
10.65,personFlow1.0,266.84,167.656
10.7,personFlow1.0,266.84,167.714
10.75,personFlow1.0,266.84,167.767
10.8,personFlow1.0,266.84,167.82
10.85,personFlow1.0,266.84,167.883
10.9,personFlow1.0,266.84,167.945
10.95,personFlow1.0,266.84,168.006
11,personFlow1.0,266.84,168.06
11.05,personFlow1.0,266.84,168.113
11.1,personFlow1.0,266.84,168.178
11.15,personFlow1.0,266.84,168.236
11.2,personFlow1.0,266.84,168.3
