track_id,car_id,sensor_id,timestamp,gt_x,gt_y,track_x,track_y
223,car0,5,17.95,266.84,177.252,266.884,177.008
223,car0,5,18.0,266.84,177.321,266.898,177.075
223,car0,5,18.05,266.84,177.381,266.909,177.129
223,car0,5,18.1,266.84,177.444,266.922,177.187
223,car0,5,18.15,266.84,177.507,266.934,177.246
223,car0,5,18.2,266.84,177.571,266.947,177.307
223,car0,5,18.25,266.84,177.628,266.959,177.362
223,car0,5,18.3,266.84,177.691,266.972,177.425
223,car0,5,18.35,266.84,177.749,266.985,177.486
223,car0,5,18.4,266.84,177.817,266.996,177.539
223,car0,5,18.45,266.84,177.887,267.008,177.593
223,car0,5,18.5,266.84,177.951,267.019,177.645
223,car0,5,18.55,266.84,178.015,267.031,177.701
223,car0,5,18.6,266.84,178.072,267.042,177.752
223,car0,5,18.65,266.84,178.133,267.054,177.809
223,car0,5,18.7,266.84,178.191,267.066,177.863
223,car0,5,18.75,266.84,178.251,267.076,177.913
223,car0,5,18.8,266.84,178.309,267.087,177.963
223,car0,5,18.85,266.84,178.375,267.099,178.023
223,car0,5,18.9,266.84,178.437,267.111,178.079
223,car0,5,18.95,266.84,178.502,267.124,178.14
223,car0,5,19.0,266.84,178.571,267.138,178.206
223,car0,5,19.05,266.84,178.63,267.151,178.263
223,car0,5,19.1,266.84,178.699,267.165,178.332
223,car0,5,19.15,266.84,178.766,267.18,178.401
223,car0,5,19.2,266.84,178.824,267.193,178.461
223,car0,5,19.25,266.84,178.882,267.206,178.525
223,car0,5,19.3,266.84,178.94,267.219,178.587
223,car0,5,19.35,266.84,178.998,267.233,178.651
223,car0,5,19.4,266.84,179.055,267.246,178.713
223,car0,5,19.45,266.84,179.118,267.261,178.784
223,car0,5,19.5,266.84,179.182,267.274,178.845
223,car0,5,19.55,266.84,179.248,267.288,178.91
223,car0,5,19.6,266.84,179.308,267.3,178.969
223,car0,5,19.65,266.84,179.375,267.315,179.035
223,car0,5,19.7,266.84,179.441,267.328,179.097
223,car0,5,19.75,266.84,179.501,267.338,179.146
223,car0,5,19.8,266.84,179.564,267.349,179.199
223,car0,5,19.85,266.84,179.622,267.36,179.248
223,car0,5,19.9,266.84,179.684,267.371,179.302
223,car0,5,19.95,266.84,179.748,267.383,179.359
223,car0,5,20.0,266.84,179.812,267.396,179.417
223,car0,5,20.05,266.84,179.877,267.408,179.476
223,car0,5,20.1,266.84,179.938,267.42,179.532
223,car0,5,20.15,266.84,180.008,267.434,179.597
223,car0,5,20.2,266.84,180.073,267.447,179.658
223,car0,5,20.25,266.84,180.143,267.461,179.725
223,car0,5,20.3,266.84,180.204,267.474,179.784
223,car0,5,20.35,266.84,180.267,267.486,179.843
223,car0,5,20.4,266.84,180.336,267.501,179.912
223,car0,5,20.45,266.84,180.397,267.514,179.971
223,car0,5,20.5,266.84,180.455,267.526,180.029
223,car0,5,20.55,266.84,180.512,267.538,180.086
223,car0,5,20.6,266.84,180.581,267.553,180.156
223,car0,5,20.65,266.84,180.64,267.566,180.216
223,car0,5,20.7,266.84,180.704,267.58,180.282
223,car0,5,20.75,266.84,180.768,267.594,180.348
223,car0,5,20.8,266.84,180.832,267.608,180.415
223,car0,5,20.85,266.84,180.888,267.621,180.475
223,car0,5,20.9,266.84,180.95,267.635,180.543
223,car0,5,20.95,266.84,181.018,267.651,180.618
223,car0,5,21.0,266.84,181.082,267.666,180.688
223,car0,5,21.05,266.84,181.148,267.682,180.764
223,car0,5,21.1,266.84,181.213,267.698,180.838
223,car0,5,21.15,266.84,181.27,267.71,180.894
223,car0,5,21.2,266.84,181.33,267.722,180.951
223,car0,5,21.25,266.84,181.387,267.734,181.006
223,car0,5,21.45,266.84,181.647,267.737,181.021
