timestamp,x,y,car,sensor
31.2,266.84,168.675,car0,0
31.25,266.84,168.741,car0,0
31.3,266.84,168.804,car0,0
31.35,266.84,168.874,car0,0
31.4,266.84,168.945,car0,0
31.45,266.84,169.012,car0,0
31.5,266.84,169.076,car0,0
31.55,266.84,169.142,car0,0
31.6,266.84,169.206,car0,0
31.65,266.84,169.264,car0,0
31.7,266.84,169.326,car0,0
31.75,266.84,169.389,car0,0
31.8,266.84,169.457,car0,0
31.85,266.84,169.521,car0,0
31.9,266.84,169.581,car0,0
31.95,266.84,169.64,car0,0
32.0,266.84,169.704,car0,0
32.05,266.84,169.764,car0,0
32.1,266.84,169.828,car0,0
32.15,266.84,169.893,car0,0
32.2,266.84,169.96,car0,0
32.25,266.84,170.029,car0,0
32.3,266.84,170.089,car0,0
32.35,266.84,170.154,car0,0
32.4,266.84,170.222,car0,0
32.45,266.84,170.286,car0,0
32.5,266.84,170.353,car0,0
32.55,266.84,170.417,car0,0
32.6,266.84,170.479,car0,0
32.65,266.84,170.541,car0,0
32.7,266.84,170.602,car0,0
32.75,266.84,170.66,car0,0
32.8,266.84,170.731,car0,0
32.85,266.84,170.802,car0,0
32.9,266.84,170.86,car0,0
32.95,266.84,170.919,car0,0
33.0,266.84,170.981,car0,0
33.05,266.84,171.05,car0,0
33.1,266.84,171.112,car0,0
33.15,266.84,171.171,car0,0
33.2,266.84,171.234,car0,0
33.25,266.84,171.296,car0,0
33.3,266.84,171.361,car0,0
33.35,266.84,171.428,car0,0
33.4,266.84,171.495,car0,0
33.45,266.84,171.566,car0,0
33.5,266.84,171.631,car0,0
33.55,266.84,171.7,car0,0
33.6,266.84,171.761,car0,0
33.65,266.84,171.821,car0,0
33.7,266.84,171.886,car0,0
33.75,266.84,171.954,car0,0
33.8,266.84,172.021,car0,0
33.85,266.84,172.086,car0,0
33.9,266.84,172.143,car0,0
33.95,266.84,172.203,car0,0
34.0,266.84,172.273,car0,0
34.05,266.84,172.34,car0,0
34.1,266.84,172.407,car0,0
34.15,266.84,172.472,car0,0
34.2,266.84,172.536,car0,0
34.25,266.84,172.598,car0,0
34.3,266.84,172.658,car0,0
34.35,266.84,172.719,car0,0
34.4,266.84,172.789,car0,0
34.45,266.84,172.851,car0,0
34.5,266.84,172.913,car0,0
34.55,266.84,172.971,car0,0
34.6,266.84,173.036,car0,0
34.65,266.84,173.105,car0,0
34.7,266.84,173.165,car0,0
34.75,266.84,173.236,car0,0
34.8,266.84,173.304,car0,0
34.85,266.84,173.371,car0,0
34.9,266.84,173.43,car0,0
34.95,266.84,173.49,car0,0
35.0,266.84,173.549,car0,0
35.05,266.84,173.606,car0,0
35.1,266.84,173.674,car0,0
35.15,266.84,173.735,car0,0
35.2,266.84,173.802,car0,0
35.25,266.84,173.861,car0,0
